norm,position,adp,value,wk_p90,wk_p10,role,finish,season,ceiling,floor,value_rk,adp_rk,ceiling_rk,floor_rk,role_rk,_c
kyler murray,QB,61.6,30.45999999999998,37.816,14.904000000000002,348.48,224.52,2022,37.816,14.904000000000002,64.0,58.0,6.0,4.0,12.0,39.75999999999999
jerry jeudy,WR,61.7,-83.20000000000002,12.93,4.05,58.0,204.20000000000002,2022,12.93,4.05,113.0,59.0,121.0,84.0,118.0,96.96
miles sanders,RB,61.7,-33.39999999999999,16.470000000000002,5.91,171.0,220.7,2022,16.470000000000002,5.91,100.0,59.0,108.0,57.0,52.0,78.92999999999999
dalton schultz,TE,62.6,47.80000000000001,21.3,2.8200000000000003,104.0,144.7,2022,21.3,2.8200000000000003,54.0,61.0,74.0,100.0,89.0,68.17
gabe davis,WR,62.9,-42.30000000000001,14.58,1.0400000000000005,63.0,173.6,2022,14.58,1.0400000000000005,104.0,62.0,115.0,120.0,114.0,96.0
rashaad penny,RB,63.3,-28.89999999999999,27.37,0.79,127.0,52.2,2022,27.37,0.79,95.0,63.0,35.0,121.0,77.0,73.72
adam thielen,WR,63.8,31.599999999999994,28.480000000000004,6.2,96.0,178.0,2022,28.480000000000004,6.2,63.0,64.0,29.0,51.0,96.0,61.28999999999999
darnell mooney,WR,68.1,51.5,21.6,4.700000000000001,146.0,101.5,2022,21.6,4.700000000000001,51.0,65.0,72.0,70.0,63.0,62.11
marquise brown,WR,68.7,60.099999999999994,21.950000000000003,6.65,147.0,156.0,2022,21.950000000000003,6.65,46.0,66.0,68.0,42.0,62.0,58.08
kareem hunt,RB,68.9,-42.599999999999994,26.380000000000003,3.26,105.0,126.8,2022,26.380000000000003,3.26,105.0,67.0,44.0,94.0,88.0,79.3
chase edmonds,RB,69.6,-5.299999999999983,17.7,5.410000000000001,169.0,74.2,2022,17.7,5.410000000000001,83.0,68.0,104.0,62.0,54.0,76.46
tony pollard,RB,70.8,6.0,15.64,5.86,176.0,248.8,2022,15.64,5.86,74.0,69.0,111.0,58.0,48.0,74.14
hunter renfrow,WR,71.2,92.9,21.0,7.14,131.0,81.0,2022,21.0,7.14,24.0,70.0,78.0,36.0,71.0,55.41
russell wilson,QB,72.5,-25.200000000000045,34.147999999999996,6.492,292.82,261.76,2022,34.147999999999996,6.492,91.0,71.0,13.0,46.0,21.0,57.309999999999995
amon ra st brown,WR,73.4,55.099999999999994,26.05,4.550000000000001,126.0,267.6,2022,26.05,4.550000000000001,49.0,72.0,46.0,75.0,78.0,61.53
devin singletary,RB,74.4,47.20000000000002,20.48,3.6,238.0,183.9,2022,20.48,3.6,55.0,73.0,88.0,90.0,32.0,65.33999999999999
dallas goedert,TE,75.2,4.0,18.939999999999998,4.5600000000000005,76.0,143.2,2022,18.939999999999998,4.5600000000000005,77.0,74.0,100.0,74.0,106.0,84.38
juju smith schuster,WR,75.9,-133.4,13.520000000000001,1.6,31.0,189.3,2022,13.520000000000001,1.6,120.0,75.0,120.0,117.0,121.0,106.44
rhamondre stevenson,RB,76.0,-33.69999999999999,21.950000000000006,2.4800000000000004,151.0,251.1,2022,21.950000000000006,2.4800000000000004,101.0,76.0,67.0,106.0,60.0,81.58
aaron rodgers,QB,80.2,89.27999999999997,36.22,14.35,407.3,295.2,2022,36.22,14.35,25.0,77.0,10.0,6.0,6.0,33.72
rashod bateman,WR,81.0,-64.70000000000002,13.88,1.7700000000000002,68.0,55.5,2022,13.88,1.7700000000000002,109.0,78.0,118.0,114.0,111.0,101.97
dak prescott,QB,83.6,82.53999999999996,37.16,9.71,400.56,246.60000000000002,2022,37.16,9.71,30.0,79.0,8.0,24.0,8.0,37.02
amari cooper,WR,84.2,34.29999999999998,24.32,5.48,104.0,246.0,2022,24.32,5.48,62.0,80.0,52.0,60.0,89.0,69.50999999999999
melvin gordon,RB,85.4,50.5,21.0,6.700000000000001,241.0,91.10000000000001,2022,21.0,6.700000000000001,53.0,81.0,78.0,40.0,29.0,61.39
devonta smith,WR,86.6,17.399999999999977,20.560000000000002,3.56,104.0,256.6,2022,20.560000000000002,3.56,69.0,82.0,87.0,92.0,89.0,80.74999999999999
tom brady,QB,86.8,148.71999999999997,38.628,12.368,466.74,325.66,2022,38.628,12.368,9.0,83.0,4.0,9.0,2.0,29.249999999999996
elijah moore,WR,87.9,-30.0,27.4,0.7,82.0,88.1,2022,27.4,0.7,96.0,84.0,34.0,123.0,102.0,84.03
zach ertz,TE,89.0,21.700000000000017,15.64,1.8800000000000001,113.0,111.60000000000001,2022,15.64,1.8800000000000001,67.0,85.0,111.0,111.0,82.0,85.64999999999999
allen lazard,WR,89.5,-25.700000000000017,20.39,2.81,63.0,174.8,2022,20.39,2.81,93.0,86.0,90.0,101.0,114.0,94.07
deandre hopkins,WR,90.0,-21.0,21.26,8.250000000000002,64.0,153.7,2022,21.26,8.250000000000002,87.0,87.0,75.0,30.0,113.0,84.74999999999999
brandon aiyuk,WR,90.0,2.0999999999999943,19.44,1.7800000000000002,89.0,229.8,2022,19.44,1.7800000000000002,79.0,87.0,96.0,112.0,100.0,89.92
matthew stafford,QB,90.3,93.71999999999997,31.992,13.764,411.74,134.38,2022,31.992,13.764,23.0,89.0,18.0,7.0,5.0,38.080000000000005
cordarrelle patterson,RB,91.4,84.0,25.7,4.6,222.0,150.7,2022,25.7,4.6,29.0,90.0,48.0,73.0,39.0,55.300000000000004
nyheim hines,RB,93.9,-34.0,16.080000000000002,2.5600000000000005,113.0,69.4,2022,16.080000000000002,2.5600000000000005,102.0,91.0,109.0,105.0,82.0,97.16999999999999
christian kirk,WR,96.2,39.41999999999999,20.700000000000003,3.3000000000000003,104.0,243.9,2022,20.700000000000003,3.3000000000000003,60.0,92.0,84.0,93.0,89.0,80.57999999999998
trey lance,QB,97.7,-245.10000000000002,22.720000000000002,3.25,72.92,12.46,2022,22.720000000000002,3.25,124.0,93.0,61.0,95.0,109.0,99.08
pat freiermuth,TE,100.0,-7.300000000000011,14.2,3.0500000000000003,79.0,148.2,2022,14.2,3.0500000000000003,84.0,94.0,117.0,97.0,104.0,96.85
james robinson,RB,101.5,27.30000000000001,21.37,2.0500000000000003,210.0,88.60000000000001,2022,21.37,2.0500000000000003,65.0,95.0,73.0,108.0,42.0,75.0
