season,name,position,team,adp,nn
2020,Jameis Winston,QB,NYG,231.0,jameis winston
2020,Ito Smith,RB,DAL,234.0,ito smith
2020,Sam Darnold,QB,SEA,237.0,sam darnold
2020,Mohamed Sanu,WR,,242.0,mohamed sanu
2020,Ian Thomas,TE,LV,243.0,ian thomas
2020,John Ross,WR,,245.0,john ross
2020,Chris Conley,WR,,246.0,chris conley
2020,Lynn Bowden,WR,,247.0,lynn bowden
2020,Delanie Walker,TE,,248.0,delanie walker
2020,Josh Reynolds,WR,,249.0,josh reynolds
2020,Jaylen Samuels,RB,,252.0,jaylen samuels
2020,KJ Hamler,WR,,254.0,kj hamler
2020,Russell Gage,WR,,255.0,russell gage
2020,Tyler Eifert,TE,,256.0,tyler eifert
2020,Rex Burkhead,RB,,258.0,rex burkhead
2020,Dawson Knox,TE,BUF,259.0,dawson knox
2020,Vance McDonald,TE,,260.0,vance mcdonald
2020,Justice Hill,RB,BAL,264.0,justice hill
2020,Darwin Thompson,RB,,266.0,darwin thompson
2020,Miles Boykin,WR,,268.0,miles boykin
2020,Gerald Everett,TE,,269.0,gerald everett
2020,Mike Davis,RB,,270.0,mike davis
2020,Van Jefferson,WR,WAS,274.0,van jefferson
2020,Cole Kmet,TE,CHI,275.0,cole kmet
2020,Thaddeus Moss,TE,,277.0,thaddeus moss
2020,Antonio Gandy-Golden,TE,,280.0,antonio gandy golden
2020,Donte Moncrief,WR,,281.0,donte moncrief
2020,Peyton Barber,RB,,282.0,peyton barber
2020,Dwayne Haskins,QB,PIT,283.0,dwayne haskins
2020,Devin Asiasi,TE,,284.0,devin asiasi
2020,Dante Pettis,WR,BUF,285.0,dante pettis
2020,Adam Humphries,WR,,287.0,adam humphries
2020,Tyrod Taylor,QB,GB,289.0,tyrod taylor
2020,Dion Lewis,RB,,290.0,dion lewis
2020,Tre'Quan Smith,WR,,294.0,tre quan smith
2020,Scotty Miller,WR,CHI,296.0,scotty miller
2020,Will Dissly,TE,,297.0,will dissly
2020,Andrew Luck,QB,,298.0,andrew luck
2021,Christian McCaffrey,RB,SF,1.4,christian mccaffrey
2021,Dalvin Cook,RB,,2.0,dalvin cook
2021,Alvin Kamara,RB,NO,3.4,alvin kamara
2021,Derrick Henry,RB,BAL,4.3,derrick henry
2021,Ezekiel Elliott,RB,,5.5,ezekiel elliott
2021,Nick Chubb,RB,,6.6,nick chubb
2021,Saquon Barkley,RB,PHI,7.0,saquon barkley
2021,Davante Adams,WR,LAR,7.3,davante adams
2021,Tyreek Hill,WR,,9.2,tyreek hill
2021,Jonathan Taylor,RB,IND,10.8,jonathan taylor
2021,Aaron Jones,RB,MIN,11.7,aaron jones
2021,Travis Kelce,TE,KC,12.8,travis kelce
2021,Austin Ekeler,RB,,13.4,austin ekeler
2021,Patrick Mahomes,QB,KC,14.3,patrick mahomes
2021,Stefon Diggs,WR,,15.0,stefon diggs
2021,Najee Harris,RB,,15.8,najee harris
2021,DeAndre Hopkins,WR,,17.4,deandre hopkins
2021,DK Metcalf,WR,PIT,18.9,dk metcalf
2021,Calvin Ridley,WR,TEN,19.3,calvin ridley
2021,Joe Mixon,RB,,20.3,joe mixon
2021,Antonio Gibson,RB,,21.8,antonio gibson
2021,George Kittle,TE,SF,22.9,george kittle
2021,Clyde Edwards-Helaire,RB,,23.4,clyde edwards helaire
2021,A.J. Brown,WR,NE,23.7,a j brown
2021,Justin Jefferson,WR,MIN,25.3,justin jefferson
2021,Darren Waller,TE,,26.1,darren waller
2021,Keenan Allen,WR,,27.5,keenan allen
2021,Josh Allen,QB,BUF,28.7,josh allen
2021,Josh Jacobs,RB,GB,29.2,josh jacobs
2021,Terry McLaurin,WR,WAS,30.3,terry mclaurin
2021,Mike Evans,WR,SF,31.7,mike evans
2021,Allen Robinson,WR,,31.9,allen robinson
2021,Chris Carson,RB,,33.9,chris carson
2021,David Montgomery,RB,HOU,34.9,david montgomery
2021,D'Andre Swift,RB,CHI,35.6,d andre swift
2021,James Robinson,RB,,36.0,james robinson
2021,Kyler Murray,QB,MIN,36.9,kyler murray
2021,CeeDee Lamb,WR,DAL,37.1,ceedee lamb
2021,Kyle Pitts,TE,ATL,38.3,kyle pitts
2021,Lamar Jackson,QB,BAL,39.4,lamar jackson
