season,name,position,team,adp,nn
2022,Ezekiel Elliott,RB,,29.1,ezekiel elliott
2022,James Conner,RB,ARI,30.8,james conner
2022,Patrick Mahomes,QB,KC,31.2,patrick mahomes
2022,Kyle Pitts,TE,ATL,32.9,kyle pitts
2022,Justin Herbert,QB,LAC,33.7,justin herbert
2022,Tee Higgins,WR,CIN,34.0,tee higgins
2022,Michael Pittman,WR,PIT,34.2,michael pittman
2022,George Kittle,TE,SF,36.7,george kittle
2022,Terry McLaurin,WR,WAS,37.1,terry mclaurin
2022,Cam Akers,RB,,38.8,cam akers
2022,Travis Etienne,RB,NO,39.8,travis etienne
2022,David Montgomery,RB,HOU,40.4,david montgomery
2022,DJ Moore,WR,BUF,41.0,dj moore
2022,Darren Waller,TE,,41.9,darren waller
2022,Lamar Jackson,QB,BAL,43.2,lamar jackson
2022,Jaylen Waddle,WR,DEN,44.2,jaylen waddle
2022,Courtland Sutton,WR,DEN,45.8,courtland sutton
2022,Diontae Johnson,WR,,46.8,diontae johnson
2022,Breece Hall,RB,NYJ,47.5,breece hall
2022,DK Metcalf,WR,PIT,48.2,dk metcalf
2022,Mike Williams,WR,,48.2,mike williams
2022,Josh Jacobs,RB,GB,50.9,josh jacobs
2022,Jerry Jeudy,WR,CLE,51.0,jerry jeudy
2022,Joe Burrow,QB,CIN,52.5,joe burrow
2022,Kyler Murray,QB,MIN,53.4,kyler murray
2022,Dalton Schultz,TE,HOU,54.2,dalton schultz
2022,J.K. Dobbins,RB,DEN,55.2,j k dobbins
2022,Allen Robinson,WR,,55.6,allen robinson
2022,Antonio Gibson,RB,,57.7,antonio gibson
2022,Elijah Mitchell,RB,PHI,58.0,elijah mitchell
2022,Marquise Brown,WR,PHI,59.1,marquise brown
2022,Brandin Cooks,WR,,60.4,brandin cooks
2022,Jalen Hurts,QB,PHI,61.7,jalen hurts
2022,AJ Dillon,RB,CAR,62.5,aj dillon
2022,Amari Cooper,WR,,62.8,amari cooper
2022,Chris Godwin,WR,TB,64.2,chris godwin
2022,Clyde Edwards-Helaire,RB,,65.2,clyde edwards helaire
2022,T.J. Hockenson,TE,MIN,66.8,t j hockenson
2022,Michael Thomas,WR,,67.0,michael thomas
2022,Amon-Ra St. Brown,WR,DET,68.4,amon ra st brown
2022,JuJu Smith-Schuster,WR,NYG,69.6,juju smith schuster
2022,Adam Thielen,WR,,69.8,adam thielen
2022,Russell Wilson,QB,,71.2,russell wilson
2022,Dallas Goedert,TE,PHI,72.0,dallas goedert
2022,Gabe Davis,WR,,73.1,gabe davis
2022,Tom Brady,QB,,74.1,tom brady
2022,Darnell Mooney,WR,NYG,75.7,darnell mooney
2022,Miles Sanders,RB,,76.1,miles sanders
2022,Rashod Bateman,WR,BAL,76.4,rashod bateman
2022,DeAndre Hopkins,WR,,78.2,deandre hopkins
2022,Kareem Hunt,RB,,79.9,kareem hunt
2022,Cordarrelle Patterson,RB,,80.7,cordarrelle patterson
2022,Hunter Renfrow,WR,,81.3,hunter renfrow
2022,Damien Harris,RB,,82.6,damien harris
2022,Tony Pollard,RB,TEN,83.0,tony pollard
2022,Dawson Knox,TE,BUF,83.8,dawson knox
2022,Chase Edmonds,RB,,85.6,chase edmonds
2022,Zach Ertz,TE,,86.4,zach ertz
2022,DeVonta Smith,WR,PHI,87.3,devonta smith
2022,Aaron Rodgers,QB,PIT,88.7,aaron rodgers
2022,Dameon Pierce,RB,PHI,89.2,dameon pierce
2022,Devin Singletary,RB,NYG,90.0,devin singletary
2022,Drake London,WR,ATL,90.7,drake london
2022,Elijah Moore,WR,PHI,92.7,elijah moore
2022,Allen Lazard,WR,,93.0,allen lazard
2022,Dak Prescott,QB,DAL,94.8,dak prescott
2022,Rashaad Penny,RB,,95.8,rashaad penny
2022,Kenneth Walker,RB,KC,97.6,kenneth walker
2022,Brandon Aiyuk,WR,SF,97.9,brandon aiyuk
2022,Tyler Lockett,WR,,99.8,tyler lockett
2022,Matthew Stafford,QB,LAR,100.4,matthew stafford
2022,Rhamondre Stevenson,RB,NE,101.8,rhamondre stevenson
2022,Chris Olave,WR,NO,102.2,chris olave
2022,Pat Freiermuth,TE,PIT,103.8,pat freiermuth
2022,James Cook,RB,BUF,104.3,james cook
2022,Christian Kirk,WR,SF,104.3,christian kirk
2022,Trey Lance,QB,LAC,106.2,trey lance
2022,Melvin Gordon,RB,,108.2,melvin gordon
2022,Treylon Burks,WR,WAS,109.4,treylon burks
2022,Robert Woods,WR,,110.1,robert woods
2022,George Pickens,WR,DAL,111.5,george pickens
2022,Mike Gesicki,TE,CIN,113.5,mike gesicki
2022,Derek Carr,QB,,114.8,derek carr
2022,Chase Claypool,WR,,115.6,chase claypool
2022,Cole Kmet,TE,CHI,116.8,cole kmet
2022,Kadarius Toney,WR,,117.4,kadarius toney
2022,Michael Carter,RB,TEN,118.1,michael carter
2022,Garrett Wilson,WR,NYJ,118.7,garrett wilson
2022,James Robinson,RB,,120.9,james robinson
2022,Skyy Moore,WR,GB,121.9,skyy moore
2022,Alexander Mattison,RB,,122.7,alexander mattison
2022,Julio Jones,WR,,123.2,julio jones
2022,Tyler Boyd,WR,,125.4,tyler boyd
2022,Darrell Henderson,RB,,125.6,darrell henderson
2022,Nyheim Miller-Hines,RB,,127.8,nyheim miller hines
2022,Kirk Cousins,QB,LV,128.8,kirk cousins
2022,Albert Okwuegbunam,TE,LV,130.2,albert okwuegbunam
2022,Marquez Valdes-Scantling,WR,DAL,136.9,marquez valdes scantling
2022,Hunter Henry,TE,NE,137.8,hunter henry
2022,Jarvis Landry,WR,,138.4,jarvis landry
2022,Michael Gallup,WR,,139.2,michael gallup
2022,Tua Tagovailoa,QB,ATL,141.6,tua tagovailoa
2022,Tyler Higbee,TE,LAR,144.9,tyler higbee
2022,Kenny Gainwell,RB,TB,145.9,kenneth gainwell
2022,Isaiah Spiller,RB,,146.2,isaiah spiller
2022,DeVante Parker,WR,,148.7,devante parker
2022,Justin Fields,QB,KC,153.2,justin fields
2022,Russell Gage,WR,,155.6,russell gage
2022,Brian Robinson,RB,ATL,156.0,brian robinson
2022,Rondale Moore,WR,,157.8,rondale moore
2022,David Njoku,TE,LAC,158.0,david njoku
2022,Romeo Doubs,WR,NE,159.8,romeo doubs
2022,Jahan Dotson,WR,ATL,160.7,jahan dotson
2022,Rachaad White,RB,WAS,160.7,rachaad white
2022,Tyler Allgeier,RB,ARI,162.8,tyler allgeier
2022,Christian Watson,WR,GB,163.5,christian watson
2022,Irv Smith,TE,,164.6,irv smith
2022,Trevor Lawrence,QB,JAX,165.6,trevor lawrence
2022,Jameis Winston,QB,NYG,166.7,jameis winston
2022,Jakobi Meyers,WR,JAX,167.0,jakobi meyers
2022,Khalil Herbert,RB,,167.4,khalil herbert
2022,Mark Ingram,RB,,169.4,mark ingram
2022,J.D. McKissic,RB,,170.8,j d mckissic
2022,DJ Chark,WR,,172.8,dj chark
2022,Isiah Pacheco,RB,DET,174.7,isiah pacheco
2022,Jameson Williams,WR,DET,174.8,jameson williams
2022,Mac Jones,QB,SF,177.0,mac jones
2022,Matt Ryan,QB,,178.8,matt ryan
2022,Jamaal Williams,RB,,179.8,jamaal williams
2022,Deshaun Watson,QB,CLE,180.5,deshaun watson
2022,Isaiah McKenzie,WR,,181.4,isaiah mckenzie
2022,Raheem Mostert,RB,,181.5,raheem mostert
2022,Robert Tonyan,TE,PIT,183.1,robert tonyan
2022,Noah Fant,TE,NO,184.2,noah fant
2022,Mecole Hardman,WR,BUF,185.5,mecole hardman
2022,Ronald Jones,RB,,186.9,ronald jones
2022,Jalen Tolbert,WR,MIA,188.4,jalen tolbert
2022,Gerald Everett,TE,,189.0,gerald everett
2022,Kenny Golladay,WR,,190.0,kenny golladay
2022,Sammy Watkins,WR,,191.3,sammy watkins
2022,Marlon Mack,RB,,192.1,marlon mack
2022,Zamir White,RB,,193.2,zamir white
2022,Chuba Hubbard,RB,CAR,195.6,chuba hubbard
2022,Alec Pierce,WR,IND,197.1,alec pierce
2022,Odell Beckham,WR,NYG,198.2,odell beckham
2022,Baker Mayfield,QB,TB,200.7,baker mayfield
2022,Hayden Hurst,TE,,201.1,hayden hurst
2022,Taysom Hill,TE,,202.2,taysom hill
2022,Austin Hooper,TE,ATL,205.3,austin hooper
2022,Kenny Pickett,QB,CAR,206.5,kenny pickett
2022,Ryan Tannehill,QB,,208.0,ryan tannehill
2022,Nico Collins,WR,HOU,209.1,nico collins
2022,Joshua Palmer,WR,BUF,209.5,joshua palmer
2022,K.J. Osborn,WR,TEN,211.0,k j osborn
2022,Evan Engram,TE,DEN,212.1,evan engram
2022,Wan'Dale Robinson,WR,TEN,213.1,wan dale robinson
2022,Tyrion Davis-Price,RB,,214.9,tyrion davis price
2022,D'Onta Foreman,RB,,215.0,d onta foreman
2022,Darrel Williams,RB,,216.3,darrel williams
2022,A.J. Green,WR,,216.4,a j green
2022,KJ Hamler,WR,,218.0,kj hamler
2022,Robbie Chosen,WR,,219.9,robbie chosen
2022,Rob Gronkowski,TE,,220.3,rob gronkowski
2022,Kyle Rudolph,TE,,223.5,kyle rudolph
2022,Zach Wilson,QB,NO,225.1,zach wilson
2022,Daniel Jones,QB,IND,226.3,daniel jones
2022,Jared Goff,QB,DET,227.9,jared goff
2022,Curtis Samuel,WR,,228.3,curtis samuel
2022,Gus Edwards,RB,,229.9,gus edwards
2022,Cameron Brate,TE,,230.1,cameron brate
2022,Van Jefferson,WR,WAS,230.5,van jefferson
2022,Marcus Mariota,QB,WAS,232.9,marcus mariota
2022,Marvin Jones,WR,,233.8,marvin jones
2022,Kenyan Drake,RB,,234.0,kenyan drake
2022,Jamison Crowder,WR,,235.1,jamison crowder
2022,Randall Cobb,WR,,236.5,randall cobb
2022,Donovan Peoples-Jones,WR,,237.2,donovan peoples jones
2022,David Bell,WR,,237.5,david bell
2022,Jerick McKinnon,RB,,239.8,jerick mckinnon
2022,Parris Campbell,WR,,240.6,parris campbell
2022,Logan Thomas,TE,,241.9,logan thomas
2022,Dontrell Hilliard,RB,,242.5,dontrell hilliard
2022,Eno Benjamin,RB,,243.1,eno benjamin
2022,Sony Michel,RB,,244.8,sony michel
2022,Devin Duvernay,WR,ARI,244.9,devin duvernay
2022,Hassan Haskins,RB,,246.7,hassan haskins
2022,Samaje Perine,RB,CIN,247.4,samaje perine
2022,Jalen Morton,QB,IND,252.0,jalen morton
2022,Jake Rudock,QB,,253.0,jake rudock
2022,Alex McGough,QB,,254.3,alex mcgough
2022,Alex Tanney,QB,,255.5,alex tanney
2022,David Fales,QB,,256.4,david fales
2022,Josh Johnson,QB,CIN,257.8,josh johnson
2022,Brandon Peters,QB,,258.0,brandon peters
2022,Kevin Hogan,QB,,259.0,kevin hogan
2022,Matt Barkley,QB,,260.2,matt barkley
2022,Jalan McClendon,QB,,261.8,jalan mcclendon
2022,Anthony Gordon,QB,,262.7,anthony gordon
2022,Brian Lewerke,QB,,264.0,brian lewerke
2022,Kyle Shurmur,QB,,265.3,kyle shurmur
2022,T.J. Linta,QB,,265.3,t j linta
2022,Jamie Newman,QB,,267.9,jamie newman
2022,Alex Ellis,TE,,269.0,alex ellis
2022,Drew Stanton,QB,,270.7,drew stanton
2022,Kyle Sloter,QB,,271.2,kyle sloter
2022,Eli Jenkins,QB,,272.4,eli jenkins
2022,Blake Sims,QB,,272.7,blake sims
2022,Nic Shimonek,QB,,274.0,nic shimonek
2022,Jake Heaps,QB,,276.7,jake heaps
2022,Tommy Armstrong Jr.,QB,,277.4,tommy armstrong
2022,Matt Moore,QB,,278.3,matt moore
2022,Wilton Speight,QB,,279.7,wilton speight
2022,Luke Falk,QB,,280.0,luke falk
2022,Rhett Ellison,TE,,281.2,rhett ellison
2022,Alex Smith,QB,,282.3,alex smith
2022,Reggie Diggs,WR,,283.8,reggie diggs
2022,Zach Conque,QB,,284.9,zach conque
2022,Joel Stave,QB,,286.2,joel stave
2022,Mitch Leidner,QB,,286.3,mitch leidner
2022,Austin Appleby,QB,,288.8,austin appleby
2022,Travis Benjamin,WR,,289.6,travis benjamin
2022,Tyler Bray,QB,,291.6,tyler bray
2022,Ryan Griffin,QB,,293.0,ryan griffin
2022,Nick Fitzgerald,QB,,293.8,nick fitzgerald
2022,Jacob Huesman,QB,,296.8,jacob huesman
2022,Jack Heneghan,QB,,298.1,jack heneghan
2022,Josh Bellamy,WR,,299.0,josh bellamy
2023,Justin Jefferson,WR,MIN,1.4,justin jefferson
2023,Christian McCaffrey,RB,SF,2.9,christian mccaffrey
2023,Ja'Marr Chase,WR,CIN,3.6,ja marr chase
2023,Austin Ekeler,RB,,4.4,austin ekeler
2023,Travis Kelce,TE,KC,5.3,travis kelce
2023,Tyreek Hill,WR,,6.8,tyreek hill
2023,Stefon Diggs,WR,,8.4,stefon diggs
2023,Bijan Robinson,RB,ATL,8.9,bijan robinson
2023,Saquon Barkley,RB,PHI,10.2,saquon barkley
2023,Nick Chubb,RB,,11.0,nick chubb
2023,CeeDee Lamb,WR,DAL,12.9,ceedee lamb
2023,Patrick Mahomes,QB,KC,13.3,patrick mahomes
2023,A.J. Brown,WR,NE,14.4,a j brown
2023,Davante Adams,WR,LAR,15.2,davante adams
2023,Cooper Kupp,WR,SEA,15.5,cooper kupp
2023,Derrick Henry,RB,BAL,16.8,derrick henry
2023,Amon-Ra St. Brown,WR,DET,17.7,amon ra st brown
2023,Garrett Wilson,WR,NYJ,17.9,garrett wilson
2023,Josh Jacobs,RB,GB,19.2,josh jacobs
2023,Josh Allen,QB,BUF,20.4,josh allen
2023,Tony Pollard,RB,TEN,21.5,tony pollard
2023,Jaylen Waddle,WR,DEN,22.2,jaylen waddle
2023,Jalen Hurts,QB,PHI,23.1,jalen hurts
2023,Chris Olave,WR,NO,24.4,chris olave
2023,Tee Higgins,WR,CIN,26.3,tee higgins
2023,Mark Andrews,TE,BAL,26.8,mark andrews
2023,DeVonta Smith,WR,PHI,28.3,devonta smith
2023,Najee Harris,RB,,29.3,najee harris
2023,Rhamondre Stevenson,RB,NE,30.7,rhamondre stevenson
2023,Travis Etienne,RB,NO,31.7,travis etienne
2023,DK Metcalf,WR,PIT,32.7,dk metcalf
2023,Lamar Jackson,QB,BAL,33.7,lamar jackson
2023,Jahmyr Gibbs,RB,DET,34.3,jahmyr gibbs
2023,Calvin Ridley,WR,TEN,35.5,calvin ridley
2023,Joe Burrow,QB,CIN,35.7,joe burrow
2023,Joe Mixon,RB,,37.5,joe mixon
2023,Deebo Samuel,WR,SF,38.7,deebo samuel
2023,Keenan Allen,WR,,39.9,keenan allen
2023,Breece Hall,RB,NYJ,40.0,breece hall
2023,Aaron Jones,RB,MIN,41.9,aaron jones
2023,Kenneth Walker,RB,KC,42.7,kenneth walker
2023,Amari Cooper,WR,,43.9,amari cooper
2023,George Kittle,TE,SF,44.1,george kittle
2023,Justin Fields,QB,KC,44.9,justin fields
2023,Jonathan Taylor,RB,IND,45.5,jonathan taylor
2023,Justin Herbert,QB,LAC,46.0,justin herbert
2023,T.J. Hockenson,TE,MIN,47.5,t j hockenson
2023,DeAndre Hopkins,WR,,48.2,deandre hopkins
2023,Dameon Pierce,RB,PHI,49.7,dameon pierce
2023,DJ Moore,WR,BUF,50.6,dj moore
2023,Terry McLaurin,WR,WAS,51.3,terry mclaurin
2023,Darren Waller,TE,,52.0,darren waller
2023,Trevor Lawrence,QB,JAX,53.8,trevor lawrence
2023,Miles Sanders,RB,,53.9,miles sanders
2023,Drake London,WR,ATL,55.1,drake london
2023,J.K. Dobbins,RB,DEN,56.0,j k dobbins
2023,Alexander Mattison,RB,,58.4,alexander mattison
2023,Dallas Goedert,TE,PHI,59.6,dallas goedert
2023,Kyle Pitts,TE,ATL,60.6,kyle pitts
2023,Christian Watson,WR,GB,61.6,christian watson
2023,D'Andre Swift,RB,CHI,62.9,d andre swift
2023,Chris Godwin,WR,TB,62.9,chris godwin
2023,Alvin Kamara,RB,NO,64.7,alvin kamara
2023,Brandon Aiyuk,WR,SF,65.2,brandon aiyuk
2023,James Conner,RB,ARI,66.4,james conner
2023,Cam Akers,RB,,67.5,cam akers
2023,Tyler Lockett,WR,,68.1,tyler lockett
2023,Michael Pittman,WR,PIT,69.3,michael pittman
2023,Dalvin Cook,RB,,70.9,dalvin cook
2023,Mike Williams,WR,,71.4,mike williams
2023,Christian Kirk,WR,SF,71.7,christian kirk
2023,Isiah Pacheco,RB,DET,73.5,isiah pacheco
2023,Jerry Jeudy,WR,CLE,73.5,jerry jeudy
2023,George Pickens,WR,DAL,74.4,george pickens
2023,Mike Evans,WR,SF,75.4,mike evans
2023,Evan Engram,TE,DEN,76.0,evan engram
2023,Rachaad White,RB,WAS,77.5,rachaad white
2023,Javonte Williams,RB,DAL,78.8,javonte williams
2023,Marquise Brown,WR,PHI,79.1,marquise brown
2023,Diontae Johnson,WR,,80.4,diontae johnson
2023,Jaxon Smith-Njigba,WR,SEA,80.9,jaxon smith njigba
2023,James Cook,RB,BUF,82.7,james cook
2023,David Montgomery,RB,HOU,83.2,david montgomery
2023,Pat Freiermuth,TE,PIT,84.9,pat freiermuth
2023,Jordan Addison,WR,MIN,85.9,jordan addison
2023,David Njoku,TE,LAC,86.4,david njoku
2023,Dak Prescott,QB,DAL,88.5,dak prescott
2023,Deshaun Watson,QB,CLE,89.6,deshaun watson
2023,Jahan Dotson,WR,ATL,90.0,jahan dotson
2023,Tua Tagovailoa,QB,ATL,92.1,tua tagovailoa
2023,AJ Dillon,RB,CAR,93.1,aj dillon
2023,Aaron Rodgers,QB,PIT,94.8,aaron rodgers
2023,Michael Thomas,WR,,95.6,michael thomas
2023,Brandin Cooks,WR,,97.7,brandin cooks
2023,Antonio Gibson,RB,,98.0,antonio gibson
2023,Kadarius Toney,WR,,98.7,kadarius toney
2023,Zay Flowers,WR,BAL,100.0,zay flowers
2023,Gabe Davis,WR,,101.9,gabe davis
2023,Brian Robinson,RB,ATL,102.7,brian robinson
2023,Quentin Johnston,WR,LAC,103.3,quentin johnston
2023,Jamaal Williams,RB,,105.8,jamaal williams
2023,Khalil Herbert,RB,,106.5,khalil herbert
2023,JuJu Smith-Schuster,WR,NYG,107.0,juju smith schuster
2023,Treylon Burks,WR,WAS,107.2,treylon burks
2023,Odell Beckham,WR,NYG,109.0,odell beckham
2023,Kirk Cousins,QB,LV,112.0,kirk cousins
2023,Dalton Schultz,TE,HOU,113.4,dalton schultz
2023,Anthony Richardson,QB,IND,114.8,anthony richardson
2023,Zach Charbonnet,RB,SEA,115.9,zach charbonnet
2023,Rashaad Penny,RB,,116.6,rashaad penny
2023,Courtland Sutton,WR,DEN,118.6,courtland sutton
2023,Cole Kmet,TE,CHI,120.5,cole kmet
2023,Dalton Kincaid,TE,BUF,121.4,dalton kincaid
2023,Elijah Moore,WR,PHI,122.3,elijah moore
2023,Samaje Perine,RB,CIN,123.0,samaje perine
2023,Ezekiel Elliott,RB,,125.2,ezekiel elliott
2023,Allen Lazard,WR,,125.3,allen lazard
2023,Adam Thielen,WR,,127.2,adam thielen
2023,Jerick McKinnon,RB,,129.9,jerick mckinnon
2023,Skyy Moore,WR,GB,131.2,skyy moore
2023,Geno Smith,QB,NYJ,132.5,geno smith
2023,De'Von Achane,RB,MIA,133.9,de von achane
2023,Tyler Higbee,TE,LAR,138.6,tyler higbee
2023,Jameson Williams,WR,DET,139.7,jameson williams
2023,Tank Bigsby,RB,PHI,140.7,tank bigsby
2023,Elijah Mitchell,RB,PHI,141.0,elijah mitchell
2023,Raheem Mostert,RB,,142.1,raheem mostert
2023,Daniel Jones,QB,IND,143.2,daniel jones
2023,Rashod Bateman,WR,BAL,145.7,rashod bateman
2023,Tyler Boyd,WR,,146.6,tyler boyd
2023,Chig Okonkwo,TE,WAS,147.1,chig okonkwo
2023,Jared Goff,QB,DET,148.7,jared goff
2023,Damien Harris,RB,,149.3,damien harris
2023,Rashee Rice,WR,KC,150.8,rashee rice
2023,Sam LaPorta,TE,DET,152.5,sam laporta
2023,Jakobi Meyers,WR,JAX,152.9,jakobi meyers
2023,Tyler Allgeier,RB,ARI,154.1,tyler allgeier
2023,Darnell Mooney,WR,NYG,155.1,darnell mooney
2023,Brock Purdy,QB,SF,158.8,brock purdy
2023,Deuce Vaughn,RB,,159.3,deuce vaughn
2023,Jaylen Warren,RB,PIT,160.1,jaylen warren
2023,Jalin Hyatt,WR,NYG,163.3,jalin hyatt
2023,Dawson Knox,TE,BUF,164.6,dawson knox
2023,Romeo Doubs,WR,NE,166.6,romeo doubs
2023,Derek Carr,QB,,167.3,derek carr
2023,Russell Wilson,QB,,168.9,russell wilson
2023,Zay Jones,WR,,169.3,zay jones
2023,Greg Dulcich,TE,MIA,170.4,greg dulcich
2023,Devin Singletary,RB,NYG,170.7,devin singletary
2023,Jonathan Mingo,WR,DAL,172.9,jonathan mingo
2023,Gerald Everett,TE,,173.3,gerald everett
2023,Bryce Young,QB,CAR,174.0,bryce young
2023,D'Onta Foreman,RB,,175.9,d onta foreman
2023,Rondale Moore,WR,,176.4,rondale moore
2023,Kenny Gainwell,RB,TB,179.7,kenneth gainwell
2023,Kenny Pickett,QB,CAR,179.9,kenny pickett
2023,Marvin Mims,WR,DEN,182.6,marvin mims
2023,Tank Dell,WR,HOU,183.8,tank dell
2023,Nico Collins,WR,HOU,184.6,nico collins
2023,Kareem Hunt,RB,,185.8,kareem hunt
2023,Justyn Ross,WR,,186.1,justyn ross
2023,Michael Gallup,WR,,188.4,michael gallup
2023,Jordan Love,QB,GB,188.8,jordan love
2023,Michael Mayer,TE,LV,191.6,michael mayer
2023,Taysom Hill,TE,,192.1,taysom hill
2023,Kendre Miller,RB,NO,193.6,kendre miller
2023,Roschon Johnson,RB,CHI,194.1,roschon johnson
2023,Juwan Johnson,TE,NO,195.6,juwan johnson
2023,Clyde Edwards-Helaire,RB,,196.3,clyde edwards helaire
2023,Kyler Murray,QB,MIN,197.5,kyler murray
2023,DJ Chark,WR,,197.6,dj chark
2023,Luke Musgrave,TE,GB,202.4,luke musgrave
2023,Jake Ferguson,TE,DAL,203.3,jake ferguson
2023,Tyjae Spears,RB,TEN,205.8,tyjae spears
2023,Chuba Hubbard,RB,CAR,206.2,chuba hubbard
2023,Van Jefferson,WR,WAS,206.3,van jefferson
2023,Alec Pierce,WR,IND,208.3,alec pierce
2023,Matthew Stafford,QB,LAR,209.2,matthew stafford
2023,Donovan Peoples-Jones,WR,,210.2,donovan peoples jones
2023,Marquez Valdes-Scantling,WR,DAL,211.4,marquez valdes scantling
2023,Hunter Renfrow,WR,,212.8,hunter renfrow
2023,K.J. Osborn,WR,TEN,213.3,k j osborn
2023,C.J. Stroud,QB,HOU,214.3,c j stroud
2023,Chase Brown,RB,CIN,215.7,chase brown
2023,Zach Ertz,TE,,215.8,zach ertz
2023,John Metchie,WR,CAR,217.8,john metchie
2023,Jayden Reed,WR,GB,218.0,jayden reed
2023,Curtis Samuel,WR,,219.6,curtis samuel
2023,Cordarrelle Patterson,RB,,220.0,cordarrelle patterson
2023,Irv Smith,TE,,221.4,irv smith
2023,Zamir White,RB,,222.7,zamir white
2023,Deon Jackson,RB,,223.8,deon jackson
2023,Evan Hull,RB,HOU,227.3,evan hull
2023,Sam Howell,QB,DAL,228.5,sam howell
2023,Jimmy Garoppolo,QB,,229.9,jimmy garoppolo
2023,Hayden Hurst,TE,,230.6,hayden hurst
2023,Isaiah Hodgins,WR,NYG,231.0,isaiah hodgins
2023,Gus Edwards,RB,,232.5,gus edwards
2023,Zack Moss,RB,,233.0,zack moss
2023,Mecole Hardman,WR,BUF,233.1,mecole hardman
2023,Jerome Ford,RB,WAS,233.6,jerome ford
2023,Ty Chandler,RB,NO,235.6,ty chandler
2023,Tyler Conklin,TE,DET,236.7,tyler conklin
2023,Mike Gesicki,TE,CIN,237.9,mike gesicki
2023,Robert Woods,WR,,238.9,robert woods
2023,Josh Downs,WR,IND,239.6,josh downs
2023,Leonard Fournette,RB,,240.5,leonard fournette
2023,Chase Claypool,WR,,241.6,chase claypool
2023,Rashid Shaheed,WR,SEA,242.3,rashid shaheed
2023,Parris Campbell,WR,,242.7,parris campbell
2023,Bruce Anderson,RB,,244.0,bruce anderson
2023,Mac Jones,QB,SF,244.8,mac jones
2023,Henry Litwin,WR,,245.0,henry litwin
2023,DeVante Parker,WR,,245.4,devante parker
2023,Shawn Bane,WR,,246.0,shawn bane
2023,Dalton Crossan,RB,,247.0,dalton crossan
2023,Trey McBride,TE,ARI,247.4,trey mcbride
2023,Noah Fant,TE,NO,248.0,noah fant
2023,Garrett Hudson,TE,,249.0,garrett hudson
2023,Isaiah Likely,TE,NYG,250.0,isaiah likely
2023,Eric Ebron,TE,PIT,250.0,eric ebron
2023,Jalen Simmons,RB,,251.0,jalen simmons
2023,Ryan Tannehill,QB,,251.2,ryan tannehill
2023,Wan'Dale Robinson,WR,TEN,251.9,wan dale robinson
2023,Desmond Ridder,QB,,253.0,desmond ridder
2023,Keaontay Ingram,RB,,254.0,keaontay ingram
2023,Christian Trahan,TE,,254.0,christian trahan
2023,Israel Abanikanda,RB,DAL,254.2,israel abanikanda
2023,Baker Mayfield,QB,TB,255.6,baker mayfield
2023,Nikola Kalinic,TE,CHI,256.0,nikola kalinic
2023,DeWayne McBride,RB,,256.3,dewayne mcbride
2023,Wilton Speight,QB,,257.0,wilton speight
2023,Puka Nacua,WR,LAR,257.8,puka nacua
2023,Joseph Parker,WR,,258.3,joseph parker
2023,Zach Evans,RB,,258.4,zach evans
2023,John Mitchell,TE,,259.0,john mitchell
2023,Michael Wilson,WR,ARI,259.5,michael wilson
2023,Joshua Kelley,RB,,260.2,joshua kelley
2023,Mitch Leidner,QB,,260.2,mitch leidner
2023,Dalton Sturm,QB,,260.4,dalton sturm
2023,Michael Carter,RB,TEN,260.8,michael carter
2023,Jerod Evans,QB,,262.0,jerod evans
2023,Trey Lance,QB,LAC,262.2,trey lance
2023,Austin Allen,QB,,263.7,austin allen
2023,Jacob Dolegala,QB,,264.4,jacob dolegala
2023,Khalil Shakir,WR,BUF,264.5,khalil shakir
2023,Cade Otton,TE,TB,265.0,cade otton
2023,Luke Falk,QB,,265.8,luke falk
2023,Allen Robinson,WR,,266.4,allen robinson
2023,Tyquan Thornton,WR,KC,267.7,tyquan thornton
2023,Josh Woodrum,QB,,267.9,josh woodrum
2023,Thomas Greaney,TE,,268.0,thomas greaney
2023,Jelani Woods,TE,NYJ,268.8,jelani woods
2023,Pierre Strong,RB,GB,269.0,pierre strong
2023,Cole McDonald,QB,,269.2,cole mcdonald
2023,Terrace Marshall,WR,MIA,269.3,terrace marshall
2023,Kyle Lauletta,QB,,269.5,kyle lauletta
2023,Austin Appleby,QB,,271.7,austin appleby
2023,Danny Etling,QB,,272.8,danny etling
2023,Dylan Stapleton,TE,,273.0,dylan stapleton
2023,Demario Richard,RB,,274.0,demario richard
2023,Malik Flowers,WR,,277.0,malik flowers
2023,Drew Anderson,QB,,278.1,drew anderson
2023,Jack Heneghan,QB,,278.7,jack heneghan
2023,Jared Cook,TE,,280.0,jared cook
2023,Darius Jackson,RB,,281.1,darius jackson
2023,John FitzPatrick,TE,,282.5,john fitzpatrick
2023,Troy Fumagalli,TE,,283.9,troy fumagalli
2023,Josh Hill,TE,,284.5,josh hill
2023,Levine Toilolo,TE,NYG,285.5,levine toilolo
2023,Alize Mack,TE,,286.3,alize mack
2023,Nate Stanley,QB,,287.0,nate stanley
2023,Kaden Smith,TE,,287.9,kaden smith
2023,Nick Bowers,TE,,289.3,nick bowers
2023,Briley Moore,TE,,291.0,briley moore
2023,Marquis Young,RB,,292.1,marquis young
2023,Ross Travis,TE,,293.2,ross travis
2023,Matt Bushman,TE,,295.0,matt bushman
2023,Pharoh Cooper,WR,,296.0,pharoh cooper
