name,position,team,adp,high,low,stdev,times_drafted,bye
Eddy Piñeiro,PK,SF,157.4,120,192,16.8,53,8
Tennessee Defense,DEF,TEN,157.5,132,180,11.8,67,9
Chase McLaughlin,PK,TB,158.0,135,192,17.2,48,10
Justice Hill,RB,BAL,158.2,116,179,22.3,20,13
Chris Boswell,PK,PIT,158.5,111,199,24.7,23,9
Tyler Loop,PK,BAL,158.8,132,209,15.1,87,13
Dylan Sampson,RB,CLE,159.4,124,179,13.6,36,11
Jordan James,RB,SF,159.6,128,206,25.1,7,8
Christian Kirk,WR,SF,160.2,130,180,15.8,10,8
Buffalo Defense,DEF,BUF,160.2,123,201,14.5,236,7
Kenyon Sadiq,TE,NYJ,160.3,123,201,16.0,65,13
James Conner,RB,ARI,160.8,108,209,26.0,11,14
Jonah Coleman,RB,DEN,161.0,105,177,21.3,11,10
Cooper Kupp,WR,SEA,161.4,138,192,10.3,37,11
Daniel Jones,QB,IND,161.5,125,180,13.9,59,13
Chig Okonkwo,TE,WAS,161.6,116,181,17.2,52,7
Travis Hunter,WR,JAX,161.8,104,178,22.1,40,7
Tyler Allgeier,RB,ARI,161.8,106,210,21.4,52,14
Chicago Defense,DEF,CHI,162.0,140,203,17.7,20,10
Tank Dell,WR,HOU,162.1,126,210,16.0,57,8
Baltimore Defense,DEF,BAL,162.1,121,210,15.5,227,13
Malik Willis,QB,MIA,162.8,123,198,15.1,62,6
Juwan Johnson,TE,NO,163.0,123,196,17.2,49,8
Keaton Mitchell,RB,LAC,163.3,88,204,28.8,31,7
Will Reichard,PK,MIN,163.8,132,210,16.2,45,6
Darnell Mooney,WR,NYG,164.0,140,177,14.6,5,8
Andy Borregales,PK,NE,164.2,146,171,10.9,5,11
T.J. Hockenson,TE,MIN,164.4,119,180,17.4,39,6
Atlanta Defense,DEF,ATL,164.6,119,201,17.2,64,11
Nick Folk,PK,ATL,164.7,141,180,15.6,7,11
Oronde Gadsden,TE,LAC,165.4,113,197,28.7,14,7
Tank Bigsby,RB,PHI,165.4,119,184,17.7,22,10
Jacoby Brissett,QB,ARI,165.4,147,179,9.7,9,14
Samaje Perine,RB,CIN,165.6,130,180,16.9,12,6
Harrison Butker,PK,KC,165.6,116,205,19.0,81,5
Ryan Flournoy,WR,DAL,165.6,131,179,13.2,29,14
De'Zhaun Stribling,WR,SF,167.0,115,205,19.8,25,8
Cincinnati Defense,DEF,CIN,167.7,102,209,32.9,22,6
Evan McPherson,PK,CIN,168.8,137,209,13.0,113,6
New Orleans Defense,DEF,NO,169.2,156,210,11.9,20,8
Germie Bernard,WR,PIT,169.3,147,180,10.3,12,9
Braelon Allen,RB,NYJ,169.6,120,207,28.6,9,13
Isaac TeSlaa,WR,DET,169.8,135,185,13.1,32,6
Troy Franklin,WR,DEN,169.9,161,178,6.5,10,10
Kayshon Boutte,WR,NE,170.1,128,207,19.5,26,11
Bryce Young,QB,CAR,170.4,150,192,12.3,14,5
Kimani Vidal,RB,LAC,171.0,163,178,6.7,5,7
Kaelon Black,RB,SF,171.2,151,197,17.2,5,8
Tyler Bass,PK,BUF,171.2,140,177,12.7,8,7
Cam Ward,QB,TEN,172.2,141,209,16.7,39,9
Fernando Mendoza,QB,LV,172.3,144,204,14.4,15,13
Greg Dulcich,TE,MIA,172.5,142,195,12.8,11,6
Wil Lutz,PK,DEN,174.9,143,202,16.3,16,10
Dalton Schultz,TE,HOU,174.9,145,201,17.9,10,8
Dontayvion Wicks,WR,PHI,175.3,171,180,4.5,6,10
Kansas City Defense,DEF,KC,175.6,144,209,12.7,35,5
Zachariah Branch,WR,ATL,177.0,177,177,0.0,5,11
Matt Gay,PK,LV,177.2,169,201,13.5,5,13
NY Giants Defense,DEF,NYG,179.5,131,209,20.2,38,8
Cleveland Defense,DEF,CLE,180.6,164,209,16.0,14,11
Miami Defense,DEF,MIA,180.9,155,209,17.3,13,6
Washington Defense,DEF,WAS,187.4,113,210,28.4,12,7
Aaron Rodgers,QB,PIT,188.6,163,207,17.1,5,9
