nn,name,position,pos_adp_rank,team_2025,share_2025,workload_2025,weeks_2025,ppg_2025,nfl_pick
hunter henry,Hunter Henry,TE,18.0,NE,0.7699,87.0,17.0,10.52,35.0
brenton strange,Brenton Strange,TE,20.0,JAX,0.5714,60.0,12.0,9.83,61.0
jayden reed,Jayden Reed,WR,51.0,GB,0.0812,22.0,5.0,9.7,50.0
rashid shaheed,Rashid Shaheed,WR,55.0,NO,0.1919,66.0,18.0,8.7,
ricky pearsall,Ricky Pearsall,WR,45.0,SF,0.212,53.0,9.0,9.84,31.0
kyle monangai,Kyle Monangai,RB,37.0,CHI,0.4225,169.0,17.0,8.63,233.0
jordan love,Jordan Love,QB,20.0,GB,0.6351,47.0,15.0,15.68,26.0
jordan addison,Jordan Addison,WR,46.0,MIN,0.2687,79.0,14.0,9.65,23.0
baker mayfield,Baker Mayfield,QB,18.0,TB,0.9483,55.0,17.0,16.0,1.0
quentin johnston,Quentin Johnston,WR,53.0,LAC,0.227,84.0,13.0,13.17,21.0
rachaad white,Rachaad White,RB,35.0,TB,0.3317,132.0,17.0,8.41,91.0
dalton schultz,Dalton Schultz,TE,22.0,HOU,0.8154,106.0,17.0,10.45,137.0
t j hockenson,T.J. Hockenson,TE,15.0,MIN,0.7021,66.0,15.0,7.52,8.0
kc concepcion,KC Concepcion,WR,52.0,,,,,,24.0
oronde gadsden,Oronde Gadsden,TE,23.0,LAC,0.697,69.0,15.0,8.76,165.0
kyler murray,Kyler Murray,QB,17.0,ARI,0.4328,29.0,5.0,15.56,1.0
xavier worthy,Xavier Worthy,WR,50.0,KC,0.234,73.0,14.0,7.85,28.0
romeo doubs,Romeo Doubs,WR,54.0,GB,0.3137,85.0,16.0,10.34,132.0
tyler shough,Tyler Shough,QB,19.0,NO,0.5921,45.0,11.0,14.36,40.0
chig okonkwo,Chig Okonkwo,TE,24.0,TEN,0.5643,79.0,17.0,7.29,143.0
kenyon sadiq,Kenyon Sadiq,TE,16.0,,,,,,16.0
alvin kamara,Alvin Kamara,RB,44.0,NO,0.4367,131.0,11.0,9.15,67.0
jalen coker,Jalen Coker,WR,57.0,CAR,0.1488,43.0,11.0,8.22,
sam darnold,Sam Darnold,QB,22.0,SEA,0.7955,35.0,17.0,13.85,3.0
