full_name,position,team,age,bye_week,status,years_exp,player_id,espn_id,yahoo_id,sportradar_id,gsis_id,passing_yards_2024,passing_tds_2024,rushing_yards_2024,rushing_tds_2024,carries_2024,receptions_2024,receiving_yards_2024,receiving_tds_2024,targets_2024,passing_yards_2025,passing_tds_2025,rushing_yards_2025,rushing_tds_2025,carries_2025,receptions_2025,receiving_yards_2025,receiving_tds_2025,targets_2025,snap_share_2024,target_share_2024,snap_share_2025,target_share_2025,adp,adp_rank,ecr_rank,ecr_tier,sos_season,proj_points,custom_proj_points,bonus_points,total_points,fp_total_points,vols,games,wk_mean,wk_std,boom_rate,bust_rate,consistency,is_rookie,draft_pick,availability,floor,ceiling,p10,p90,P_pos1,P_pos2,P_pos3,p_elite,p_startable,p_bust,floor_healthy,ceiling_healthy,xppg,xppg_diff,switched_team,regression
Jha'Quan Jackson,WR,HOU,26.0,8.0,Active,2.0,11808,,,bcb054df-47e9-411c-8c9d-eef1a9a25487,00-0039392,0.0,0.0,-5.0,0.0,1.0,1.0,8.0,0.0,3.0,,,,,,,,,,0.0574999999999999,0.0059171597633136,,,170.0,170.0,,,,,,,,,,12.0,0.1083333333333333,0.3752776749732567,0.0,1.0,3.4641016151377544,False,,,,,,,,,,,,,,,,,True,
Arian Smith,WR,NYJ,24.0,13.0,Active,1.0,12539,,,8c7c7f4c-f8cc-4e02-aa0f-f794a1afd6ae,00-0040582,,,,,,,,,,0.0,0.0,13.0,0.0,4.0,7.0,52.0,0.0,16.0,,,0.3825,0.0338983050847457,170.0,170.0,,,,3.4,3.5700000000000003,0.7133901554288548,4.283390155428855,4.283390155428855,-206.8804651710609,13.0,1.0384615384615383,1.0696872296287216,0.0,1.0,1.0300691840869172,False,,,2.9612623021424955,5.5413940444100955,2.333498331507243,6.453062128625276,0.0,0.0,0.0,0.0,0.0,1.0,3.099770020485112,5.3480211804234745,2.1058333333333334,-0.9808333333333334,False,Sustainable
Dan Chisena,WR,CAR,29.0,5.0,Active,6.0,7357,3929637.0,33023.0,92529995-41e9-48db-b429-c96540ad357b,00-0035976,0.0,0.0,0.0,0.0,0.0,3.0,37.0,0.0,4.0,,,,,,,,,,0.0483333333333333,0.0077220077220077,0.08,,170.0,170.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,False,
Albert Okwuegbunam,TE,LV,28.0,13.0,Active,6.0,6843,4035115.0,32788.0,617aee8a-70be-4bdf-9a71-2e2b74e647e6,00-0036423,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0,36.0,0.0,6.0,,,0.46,0.0121457489878542,170.0,170.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,False,
Tyreik McAllister,RB,,27.0,,Active,3.0,8749,,,2a77de20-d253-11ec-b16e-cf7159baf83d,00-0037450,0.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0233333333333333,0.0,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,False,
Ty Simpson,QB,LAR,23.0,11.0,Active,0.0,13275,,,2e62e603-363a-425f-8c57-0a1600476c85,SIM639376,,,,,,,,,,,,,,,,,,,,,,,169.8,169.8,339.0,14.0,3 out of 5 stars,23.4,27.568,1.5579261693725206,29.125926169372523,29.125926169372523,-333.5078443250667,,,,,,,True,13.0,,19.6389595468838,41.7063910983848,14.969146120300556,50.19627205507069,0.0,0.0,0.3166,0.0,0.0,1.0,20.595620895608835,40.52421768471905,,,False,
Jonathan Ward,RB,,28.0,,Active,6.0,7087,4039274.0,33088.0,1dc6b133-355f-451e-856f-d02839681578,00-0035924,0.0,0.0,22.0,0.0,5.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.04,0.0,,,170.0,170.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,True,
Lan Larison,RB,NE,24.0,11.0,Active,1.0,12969,,,e2d48330-251e-11f0-aae1-fdfd5aa92d71,00-0040568,,,,,,,,,,,,,,,,,,,,,,,170.0,170.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,False,
Brittain Brown,RB,CHI,28.0,10.0,Active,4.0,8423,,,387c8819-5892-4528-ac33-0ec72b24cc2f,00-0037329,,,,,,,,,,0.0,0.0,37.0,1.0,5.0,0.0,0.0,0.0,1.0,,,0.0666666666666666,0.0018796992481203,170.0,170.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,False,
Brock Purdy,QB,SF,26.0,8.0,Active,4.0,8183,,,d5aef708-ad61-4ab8-a637-62ff96e92040,00-0037834,3864.0,20.0,323.0,5.0,66.0,0.0,0.0,0.0,0.0,2167.0,20.0,147.0,3.0,33.0,0.0,0.0,0.0,0.0,0.9893333333333332,,0.977777777777778,,102.4,102.4,94.0,7.0,1 out of 5 stars,306.2,347.62199999999996,22.674063030136992,370.29606303013696,370.29606303013696,7.662292535697759,24.0,22.176666666666662,11.054090986428143,0.4583333333333333,0.2083333333333333,0.4984559290438062,False,,0.8465882352941175,268.66179303552184,465.7636208375551,208.71409488611027,530.1746237143527,0.4816,0.355,0.14965,0.1449,0.4816,0.5184,296.30784343233023,438.9101002631758,19.091923076923077,-0.7557692307692321,False,Sustainable
Zachariah Branch,WR,ATL,22.0,11.0,Active,0.0,13320,,,41f192cd-cc4a-44bc-9c21-43a19ecfc86c,BRA531428,,,,,,,,,,,,,,,,,,,,,,,169.8,169.8,247.0,11.0,3 out of 5 stars,53.4,53.559999999999995,6.5003423523260535,60.060342352326046,60.060342352326046,-151.10351297416372,,,,,,,True,79.0,,36.035106335965025,77.84261988495729,27.53106943973923,93.52867897124077,5e-05,0.0002,0.0011,0.0,0.00065,0.99935,38.28892593979853,75.40372859388748,,,False,
