full_name,position,team,age,bye_week,status,years_exp,player_id,espn_id,yahoo_id,sportradar_id,gsis_id
Chad Ryland,K,ARI,26.0,,Active,3.0,10955,,,c77efa70-0691-4a21-8064-a5880569b559,00-0038567
TreVeyon Henderson,RB,NE,23.0,,Active,1.0,12529,,,0d9788e6-03ee-416d-8ba2-deb57037d209,00-0040734
Isaac TeSlaa,WR,DET,24.0,,Active,1.0,12535,,,41e5e4a9-f04c-462e-a1d1-e35a8115b974,00-0040669
D'Andre Swift,RB,CHI,27.0,,Active,6.0,6790,4259545.0,32705.0,cc4b5f58-a11c-4450-a1df-617ad88336e4,00-0036275
Geno Smith,QB,NYJ,35.0,,Active,13.0,1373,15864.0,26662.0,cfc93f5e-105e-4a5e-88d3-f4279893cfa8,00-0030565
Corey Kiner,RB,ARI,24.0,,Active,1.0,12491,,,c7483e80-2574-11f0-b082-a1e374c45b00,00-0040556
Tua Tagovailoa,QB,ATL,28.0,,Active,6.0,6768,4241479.0,32675.0,26ad9c27-de38-495e-913c-6fb2428e76d3,00-0036212
Devin Singletary,RB,NYG,28.0,,Active,7.0,6130,4040761.0,31906.0,a961b0d4-5d7c-438e-90f0-2e1fa09f6c89,00-0035250
Jalen Hurts,QB,PHI,27.0,,Active,6.0,6904,4040715.0,32723.0,64bd0f02-6a5d-407e-98f1-fd02048ea21d,00-0036389
Zach Wilson,QB,NO,26.0,,Active,5.0,7538,,,17bb63b1-1b0e-48e1-baf7-55cd314d0e62,00-0037013
Elijah Mitchell,RB,PHI,28.0,,Active,5.0,7561,,,8ba68abf-e9d2-4927-bf8d-476f271d840c,00-0036567
Dustin Hopkins,K,,34.0,,Active,12.0,1348,15965.0,26800.0,058c99fc-470c-4579-a165-03e043335cc1,00-0030098
Ladd McConkey,WR,LAC,24.0,,Active,2.0,11635,,,473bc7e5-c393-4f21-9e49-3ffc16711238,00-0039915
Brian Robinson,RB,ATL,27.0,,Active,4.0,8154,,,795f636e-6f7f-4bc7-a346-2862272abead,00-0037746
Casey Washington,WR,ATL,25.0,,Active,2.0,11806,,,98b9b952-b31f-47c4-9fac-9d7516af34df,00-0039394
Jake Browning,QB,TB,30.0,,Active,7.0,6111,3886812.0,32138.0,f2f29019-7306-4b1c-a9d8-e9f802cb06e0,00-0035100
Jeff Wilson,RB,,30.0,,Active,8.0,5284,3122976.0,31394.0,72cf3127-3953-4fd8-8049-3de1b6fa9825,00-0034115
Rome Odunze,WR,CHI,24.0,,Active,2.0,11620,,,f64694e0-0381-11ef-973d-5176a0ecbee4,00-0039919
Michael Wilson,WR,ARI,26.0,,Active,3.0,10232,,,b91be982-fccd-448e-869b-e9b5148a1730,00-0038559
,DEF,PIT,,,,,PIT,,,,
Jordan Love,QB,GB,27.0,,Active,6.0,6804,4036378.0,32696.0,e5094779-e94f-4052-8597-bdbee3719f6b,00-0036264
Tyler Boyd,WR,,30.0,,Active,9.0,3225,3045144.0,29288.0,76a5edec-5ff7-49fa-a8ec-5768a372279d,00-0033009
Braxton Berrios,WR,NYG,30.0,,Active,8.0,5121,3123075.0,31180.0,18f0bd30-1432-4fae-9cb4-c212bad6d0bb,00-0034419
Matt Gay,K,LV,32.0,,Active,7.0,6083,4249087.0,31977.0,2b90e091-ef78-4753-93eb-0acf3632c206,00-0035269
,DEF,IND,,,,,IND,,,,
John Metchie,WR,CAR,25.0,,Active,4.0,8147,,,2995df34-ee81-4320-be1e-1c497b83c927,00-0037614
Erick All,TE,CIN,25.0,,Active,2.0,11592,,,5523779b-db60-4158-b232-8391bc7db65b,00-0039814
Nick Westbrook-Ikhine,WR,IND,29.0,,Active,6.0,7496,3929785.0,33348.0,5e63e674-adf3-4f4e-929e-4a0ff2cfb1df,00-0036182
Kalif Raymond,WR,CHI,31.0,,Active,10.0,3634,2973405.0,29631.0,e0a31d02-9d1c-4dab-adb4-a5d9bbee8b36,00-0032464
KhaDarel Hodge,WR,,31.0,,Active,8.0,5773,3047876.0,31769.0,6f124753-5c6c-454b-97c7-0f9b4d14e7c2,00-0034854
Cooper Rush,QB,,32.0,,Active,9.0,4574,2972515.0,30788.0,4595c8ea-9d85-4504-8a34-2c8a02349105,00-0033662
Hendon Hooker,QB,TEN,28.0,,Active,3.0,9998,,,25b10007-802d-4ebb-8314-3eb7b24ddc37,00-0038550
John FitzPatrick,TE,,25.0,,Active,4.0,8500,,,b221f4da-3c7c-4f51-b3f0-d2c68d5d9369,00-0037306
Chris Godwin,WR,TB,30.0,,Active,9.0,4037,3116165.0,30197.0,baa61bb5-f8d0-4f90-bbe2-028576b8d33d,00-0033921
Dallin Holker,TE,,25.0,,Active,1.0,11606,,,254a1f40-0572-11ef-8aed-f73fbdbd4575,00-0039613
Anthony Miller,WR,,30.0,,Active,7.0,5013,3050487.0,31021.0,bfaedf99-7618-4925-b362-90415c22a3b6,00-0034353
Dawson Knox,TE,BUF,29.0,,Active,7.0,5906,3930086.0,31928.0,5fb525c5-4e70-4ede-8c49-94ad0cf66b7d,00-0035689
Simi Fehoko,WR,ARI,28.0,,Active,5.0,7812,,,3860693c-99a2-4484-99db-1d43e3ff7fd4,00-0036646
K.J. Osborn,WR,TEN,29.0,,Active,6.0,7066,3916566.0,32846.0,3bf5c049-9daa-43ba-9758-c6c895a9d462,00-0036345
Montrell Washington,WR,,26.0,,Active,3.0,8475,,,90785e41-84ca-41b8-a7f8-47f20086275b,00-0037272
Xavier Weaver,WR,ARI,25.0,,Active,2.0,11921,,,ffd59710-0582-11ef-823c-c3942ac17525,00-0039521
Josh Johnson,QB,CIN,40.0,,Active,18.0,260,11394.0,8937.0,73e133bf-d3f7-4fda-bd25-2fde66cb8ee1,00-0026300
Taylor Heinicke,QB,,32.0,,Active,10.0,2711,2565969.0,28839.0,2c259733-ec2c-4e3c-bb7b-34dc0d37dc34,00-0031800
Collin Johnson,WR,,27.0,,Active,5.0,6857,4039043.0,32835.0,214ae0bc-d6ed-4216-a154-f253c85bb90b,00-0036254
Jimmy Garoppolo,QB,,34.0,,Active,12.0,1837,16760.0,27590.0,42de9d1d-0352-460b-9172-9452414fd7fd,00-0031345
Cameron Dicker,K,LAC,26.0,,Active,4.0,8259,,,ac5dd0b0-d060-11ec-b677-29e0f2526162,00-0037224
Will Mallory,TE,IND,26.0,,Active,3.0,10220,,,5d4a5e4f-7c74-4b4c-b8e5-33bb831e3057,00-0038394
Isiah Pacheco,RB,DET,27.0,,Active,4.0,8205,,,3a25c037-fa30-4740-b742-ec8e4f1a2a25,00-0037197
Kirk Cousins,QB,LV,37.0,,Active,14.0,1166,14880.0,25812.0,bbd0942c-6f77-4f83-a6d0-66ec6548019e,00-0029604
Allen Lazard,WR,,30.0,,Active,7.0,5185,3128390.0,31268.0,6a23db75-021b-4808-99e6-21a33d34202b,00-0034521
Jake Ferguson,TE,DAL,27.0,,Active,4.0,8110,,,f46eab3d-d7dd-4420-b3f9-6da9ac1308ab,00-0038041
Luke Farrell,TE,SF,28.0,,Active,5.0,7842,,,8a1f0e8e-6521-4a94-9934-ad4f76a25fd9,00-0036887
Curtis Samuel,WR,,29.0,,Active,9.0,4082,3121427.0,30153.0,66a21b6d-97e5-4732-8bb0-062145d6bbc6,00-0033282
Zach Ertz,TE,,35.0,,Active,13.0,1339,15835.0,26658.0,de3421f7-2147-4835-89a5-724e87bad463,00-0030061
Brady Russell,TE,SEA,27.0,,Active,3.0,11280,,,c3c08060-eb74-11ed-aecd-85bc826ed43e,00-0038488
Trey Benson,RB,ARI,23.0,,Active,2.0,11589,,,0c1253f2-1822-445d-8590-fea6fd32703f,00-0039921
Jake Bobo,WR,SEA,27.0,,Active,3.0,10867,,,7d80dd50-e9f5-11ed-9c34-3f26f2e7ed88,00-0038752
Isaiah Likely,TE,NYG,26.0,,Active,4.0,8131,,,f9279edb-cfa7-4f7d-91df-b81cbf3e133e,00-0037838
Patrick Mahomes,QB,KC,30.0,,Active,9.0,4046,3139477.0,30123.0,11cad59d-90dd-449c-a839-dddaba4fe16c,00-0033873
,DEF,ARI,,,,,ARI,,,,
Demarcus Robinson,WR,SF,31.0,,Active,10.0,3286,3043116.0,29360.0,46b16198-116f-4913-85db-2bc21462bd66,00-0032775
Isaiah Williams,WR,NYJ,25.0,,Active,2.0,11608,,,2ddb2f40-07bc-11ef-82d9-5f86367458d3,00-0039451
Shedeur Sanders,QB,CLE,24.0,,Active,1.0,12524,,,270e09bc-8bf8-44b0-87ed-1fd014de4ab7,00-0040668
Cody Thompson,WR,,29.0,,Active,6.0,6171,3126115.0,32367.0,16da963d-a300-4d72-8e4d-7771196c03e9,00-0035164
,DEF,SEA,,,,,SEA,,,,
Ja'Marr Chase,WR,CIN,26.0,,Active,5.0,7564,,,fa99e984-d63b-4ef4-a164-407f68a7eeaf,00-0036900
Grant Calcaterra,TE,PHI,27.0,,Active,4.0,8177,,,f6988cfa-2dcf-490b-ac80-9af8e4292efa,00-0037086
Calvin Austin,WR,NYG,27.0,,Active,4.0,8125,,,a95271f7-6dae-4b43-94fd-3ff04b15d4c4,00-0037837
Austin Trammell,WR,JAX,27.0,,Active,5.0,7746,,,c1d52f55-4c65-4b37-8457-f0dc028c85bc,00-0036841
Dyami Brown,WR,WAS,26.0,,Active,5.0,7587,,,0fb60ada-bdd3-4d74-8c98-058303a1649a,00-0036626
,DEF,LV,,,,,LV,,,,
Evan McPherson,K,CIN,26.0,,Active,5.0,7839,,,acc143ed-53b2-49c9-81bc-16e6c98ffcae,00-0036854
Jermaine Jackson,WR,,24.0,,Active,1.0,11897,,,9f2c6ea0-0570-11ef-af69-dfa5fe884ba6,00-0039614
Jalen Tolbert,WR,MIA,27.0,,Active,4.0,8117,,,c6fb9f3a-f8ff-4224-a5f6-4d2d09501c9c,00-0037666
Justin Herbert,QB,LAC,28.0,,Active,6.0,6797,4038941.0,32676.0,f0a8f8e3-b9e9-46ed-85e4-eec6452a8a44,00-0036355
Malik Turner,WR,SF,30.0,,Active,8.0,5781,3115928.0,31777.0,82a7e1ff-019a-4f4b-aeb6-c41420e44891,00-0034867
Tee Higgins,WR,CIN,27.0,,Active,6.0,6801,4239993.0,32703.0,7963b029-5de4-4541-b00a-44eefe4349af,00-0036410
Sam LaPorta,TE,DET,25.0,,Active,3.0,10859,,,3059f1e5-1871-4458-9e90-9b9917874c61,00-0039065
Maurice Alexander,WR,CHI,29.0,,Active,4.0,8921,,,8261c380-132b-11ed-86b5-f9dfd114f830,00-0037708
Jamari Thrash,WR,CLE,25.0,,Active,2.0,11633,,,1472d4aa-ffbf-4683-aa91-86bc4795b34e,00-0039379
Alex Erickson,WR,,32.0,,Active,9.0,3433,2977800.0,29703.0,6bb4d6f8-c8fb-4ca7-a416-a7010526114d,00-0032543
D'Onta Foreman,RB,,28.0,,Active,8.0,4111,3125116.0,30202.0,02779042-2b4e-4fa9-b598-364fe01b523a,00-0033925
Alex Bachman,WR,,29.0,,Active,7.0,6386,3919510.0,32124.0,427038d8-ff50-4d6e-a088-4fdb8bc2f0e3,00-0035602
Pharaoh Brown,TE,,31.0,,Active,9.0,4443,2971281.0,30627.0,6733b953-de77-44e5-acbf-c2d3a0940243,00-0033439
Jacob Saylors,RB,DET,25.0,,Active,3.0,11237,,,99a7f770-ea18-11ed-a93b-a93886fe0bfd,00-0038896
Britain Covey,WR,PHI,29.0,,Active,4.0,8414,,,75774350-ce18-11ec-bebb-4fec1e38b0e5,00-0037132
DeMario Douglas,WR,NE,25.0,,Active,3.0,9501,,,962496d4-9ffa-471b-8dd2-fc5e60fee84b,00-0038621
Jalen Nailor,WR,LV,27.0,,Active,4.0,8180,,,3f9e3634-54d7-46a4-bf26-67274500c907,00-0037291
Luther Burden,WR,CHI,22.0,,Active,1.0,12519,,,a4c21977-c9d1-40f8-abee-0862dfab9195,00-0040735
Dontayvion Wicks,WR,PHI,25.0,,Active,3.0,9486,,,ea3d1393-8c3b-4e81-a519-f636d28d692e,00-0038393
,DEF,NYJ,,,,,NYJ,,,,
Brashard Smith,RB,KC,23.0,,Active,1.0,12455,,,3170164a-1718-4a39-9ef2-e18104e35fef,00-0040078
Lamar Jackson,QB,BAL,29.0,,Active,8.0,4881,3916387.0,31002.0,e06a9c07-453a-4bb0-a7e9-2c3a64166dad,00-0034796
Jake Moody,K,WAS,26.0,,Active,3.0,10937,,,e7a7eaea-0f77-42ab-b6a2-12ebcf51227c,00-0038562
Jalen McMillan,WR,TB,24.0,,Active,2.0,11618,,,c2b25795-8c63-425a-8790-f6d626dbf0d3,00-0039855
Jeremy McNichols,RB,WAS,30.0,,Active,9.0,4219,3127586.0,30275.0,25cc3585-6194-4786-968a-2600db46b6c6,00-0033955
Dalevon Campbell,WR,LAC,24.0,,Active,1.0,13202,,,10e1f570-2f6d-11f0-83ff-1b0af9d7582e,00-0040629
Davante Adams,WR,LAR,33.0,,Active,12.0,2133,16800.0,27581.0,e7d6ae25-bf15-4660-8b37-c37716551de3,00-0031381
Aaron Rodgers,QB,PIT,42.0,,Active,21.0,96,8439.0,7200.0,0ce48193-e2fa-466e-a986-33f751add206,00-0023459
Deebo Samuel,WR,,30.0,,Active,7.0,5872,3126486.0,31868.0,628a6a0a-4fde-4024-8d7c-28674953d5af,00-0035719
Troy Hairston,RB,,26.0,,Active,3.0,8820,,,c4ae1ed0-d32c-11ec-a99e-3305165b8d4a,00-0037456
Brenton Strange,TE,JAX,25.0,,Active,3.0,9480,,,94f135f7-9d54-4cbd-b560-fcaf83d414b0,00-0038935
Tyler Shough,QB,NO,26.0,,Active,1.0,12545,,,94b8f9e1-3109-4429-8f71-4f79d7588237,00-0040743
Tyrod Taylor,QB,GB,36.0,,Active,15.0,827,14163.0,24967.0,7f3ef024-eb34-46af-8b9e-544cdf09378f,00-0028118
Chase McLaughlin,K,TB,30.0,,Active,7.0,6650,3150744.0,32417.0,12d28404-63e1-432f-adde-c93631a5c39c,00-0035358
Baker Mayfield,QB,TB,31.0,,Active,8.0,4892,3052587.0,30971.0,30198d30-9769-4e10-ac86-b4c91d940802,00-0034855
James Conner,RB,ARI,31.0,,Active,9.0,4137,3045147.0,30218.0,28a084c0-14df-499f-bd1f-b975603626b7,00-0033553
Dorian Thompson-Robinson,QB,,25.0,,Active,2.0,10862,,,d66ae3ad-8a60-47e7-a3b2-18a1e8377e1b,00-0038583
Jeremy Ruckert,TE,NYJ,25.0,,Active,4.0,8145,,,28f3732b-0910-4d09-9fd4-e43b821dc5bb,00-0037805
Tyler Warren,TE,IND,24.0,,Active,1.0,12518,,,c8fe3913-1210-4142-b9c1-c119ef702ca5,00-0040128
Andre Szmyt,K,CLE,27.0,,Active,4.0,11261,,,25f0b180-ead8-11ed-86b8-630d0ad2d5af,00-0038428
Nyheim Miller-Hines,RB,,29.0,,Active,8.0,5347,3916430.0,31074.0,ed5bcd2c-6335-4c0b-93b7-2116684a9b02,00-0034367
Sean Tucker,RB,TB,24.0,,Active,3.0,9506,,,6d616c10-f35e-11ed-b721-9b68b08a2e09,00-0038951
Michael Carter,RB,TEN,27.0,,Active,5.0,7607,,,7f119181-4c9f-4a9f-bccc-357277b64a8d,00-0036924
Christian Watson,WR,GB,27.0,,Active,4.0,8167,,,47d97f44-b4aa-46d2-816c-5b5a1fe48d46,00-0038124
Tyrion Davis-Price,RB,,24.0,,Active,3.0,8211,,,052cdbeb-f758-4110-ac1a-675cd0335db9,00-0037827
Jermar Jefferson,RB,,26.0,,Active,5.0,7599,,,de456390-b27b-4146-87b9-0267f1ea8db4,00-0036670
Nathan Carter,RB,ATL,24.0,,Active,1.0,12897,,,be0e5b20-2479-11f0-8e28-d7828261d278,00-0040547
Will Levis,QB,TEN,26.0,,Active,3.0,9999,,,4c8a2f7e-f982-4eca-9d52-cf53df6985a4,00-0039152
Tre' Harris,WR,LAC,24.0,,Active,1.0,12509,,,a45328a1-7d0e-451a-8176-ea30f0e1c86f,00-0040727
Jakobi Meyers,WR,JAX,29.0,,Active,7.0,5947,3916433.0,32231.0,73e194d1-a4b7-4de4-b1c2-3c24ef502918,00-0034960
Isaac Guerendo,RB,SF,25.0,,Active,2.0,11651,,,eac64b21-6e9e-447a-bf18-8a00b5c12871,00-0039363
Jude McAtamney,K,,25.0,,Active,1.0,12385,,,59390ff0-0eeb-11ef-966f-a152cdc308bf,00-0039934
Lucas Havrisik,K,GB,26.0,,Active,4.0,8932,,,acb45400-339b-11ed-bc62-03fa2e99e805,00-0038152
Tyler Higbee,TE,LAR,33.0,,Active,10.0,3271,2573401.0,29344.0,0df7912d-9e81-47ea-b4f7-d04986df4ee8,00-0033110
Nick Chubb,RB,,30.0,,Active,8.0,4988,3128720.0,31005.0,4bd60b33-9fbf-4156-ba2b-8264ac37b418,00-0034791
Cordarrelle Patterson,RB,,34.0,,Active,12.0,1535,15807.0,26652.0,da85107c-365c-4d58-90ab-479d97d798b4,00-0030578
Ricky Pearsall,WR,SF,25.0,,Active,2.0,11638,,,aca4c1b8-915f-4295-92e4-05b51feee6b1,00-0039916
Emeka Egbuka,WR,TB,23.0,,Active,1.0,12514,,,00cea287-1fa0-4584-803f-59f546ef8722,00-0040129
