full_name,position,team,age,bye_week,status,years_exp,player_id,espn_id,yahoo_id,sportradar_id
Jequez Ezzard,WR,,,,Active,1.0,8410,,,9ee73860-ca5f-11ec-a405-85147f12d5b8
Albert Wilson,WR,,30.0,,Active,9.0,2025,17051.0,28046.0,2958ea86-e2dc-4719-93e5-cc9d093ca963
Phillip Andersen,K,,30.0,,Active,3.0,5838,,31818.0,c961fdc7-20e7-4721-813a-3e68d97d6b37
Joshua Lingenfelter,TE,,,,Active,1.0,12300,,,2fe72450-0c7c-11ef-9f7f-d71d8b7aaba8
E.J. Jenkins,TE,PHI,27.0,,Active,3.0,11304,,,626a1dd0-ebab-11ed-bb4c-e536974648f2
Joe Flacco,QB,CIN,41.0,,Active,18.0,19,11252.0,8795.0,64797df2-efd3-4b27-86ee-1d48f7edb09f
Lincoln Pare,RB,IND,25.0,,Active,0.0,13352,,,788ae010-4afb-11f1-aee4-ad51876b92ae
Jacolby George,WR,,22.0,,Active,1.0,12967,,,f64aff60-2510-11f0-abe6-9bfe83819280
Brett Weaver,TE,,,,Active,0.0,14017,,,98e4f240-4bde-11f1-85c4-49f6e6330b49
Ife Adeyi,WR,,25.0,,Active,1.0,13228,,,682757b0-4185-11f0-a2ae-b7e020a85e30
Sean Modster,WR,,26.0,,Active,3.0,6459,3127588.0,32301.0,bf3ad199-bdc5-4ec9-9446-ebd50ef69dc9
Cole Beck,WR,,29.0,,Active,1.0,12264,,,accfc860-0bd6-11ef-ba76-8766241b1b46
Charles Clay,TE,,32.0,,Active,11.0,801,14145.0,24961.0,04ca4fb9-194e-47fe-8fc8-adb5790a8e78
Drew Belcher,TE,,25.0,,Active,3.0,6374,3120540.0,32153.0,7467134f-8eb3-4fde-ac64-e2fc9f9789db
Mo Alie-Cox,TE,IND,32.0,,Active,9.0,4054,2998565.0,30112.0,8809c0dd-786b-4255-a7d0-333c9498c19a
Michael Strachan,WR,,28.0,,Active,4.0,7944,,,f847b563-8a08-46ca-bb57-aee8431a87fd
Ryan Griffin,QB,,33.0,,Active,10.0,1550,16140.0,26949.0,949c34b9-150a-4a1b-b884-1fcf1ebaabdf
Julian Fleming,WR,,25.0,,Active,0.0,13108,,,3e9fe6f0-2619-11f0-8447-731004665991
Robbie Chosen,WR,,32.0,,Active,10.0,3423,2574808.0,29785.0,e81fb788-1478-4936-ae12-f6ed7ec23476
Deshaun Fenwick,RB,,25.0,,Active,1.0,12121,,,09decef0-075b-11ef-a4cb-c746acae2b72
Stephen Anderson,TE,,31.0,,Active,8.0,3496,2576854.0,29789.0,5cb0bf9c-03b4-4201-97c5-a59c6db50841
Marvin Bracy,WR,,28.0,,Active,5.0,4813,2969915.0,30930.0,b1dd4855-f72f-4d7c-9af3-39d37de56b0d
