full_name,position,team,age,bye_week,status,years_exp,player_id,espn_id,yahoo_id,sportradar_id,gsis_id,passing_yards_2024,passing_tds_2024,rushing_yards_2024,rushing_tds_2024,carries_2024,receptions_2024,receiving_yards_2024,receiving_tds_2024,targets_2024,passing_yards_2025,passing_tds_2025,rushing_yards_2025,rushing_tds_2025,carries_2025,receptions_2025,receiving_yards_2025,receiving_tds_2025,targets_2025,snap_share_2024,target_share_2024,snap_share_2025,target_share_2025,adp,adp_rank,ecr_rank,ecr_tier,sos_season,proj_points,custom_proj_points,bonus_points,total_points,vols,games,wk_mean,wk_std,boom_rate,bust_rate,consistency,is_rookie,draft_pick,availability,floor,ceiling,p10,p90,P_pos1,P_pos2,P_pos3,p_elite,p_startable,p_bust,overall_rank,pos_rank,pos_label,rank_ecr,rank_composite,value_gap,market,risk_tier
Drake London,WR,ATL,24.0,11.0,Active,4.0,8112,,,5053f9ae-15d9-4730-833d-484886b6f890,00-0037238,0.0,0.0,-3.0,0.0,1.0,100.0,1271.0,9.0,158.0,0.0,0.0,0.0,0.0,0.0,68.0,919.0,7.0,112.0,0.897,0.293,0.907,0.216,17.0,18.0,11.0,2.0,3 out of 5 stars,289.4,289.09,31.178,320.268,112.405,29.0,16.645,9.789,0.207,0.103,0.588,False,,0.897,240.5,398.839,194.05,448.415,0.531,0.249,0.101,0.154,0.881,0.119,11,5,WR5,10,11,7.0,fair,Balanced
Trey McBride,TE,ARI,26.0,14.0,Active,4.0,8130,,,734d54cc-c869-4e2f-a60f-c59c493f5110,00-0037744,0.0,0.0,2.0,1.0,1.0,111.0,1146.0,2.0,147.0,0.0,0.0,0.0,0.0,0.0,126.0,1239.0,11.0,169.0,0.898,0.281,0.914,0.274,22.0,22.0,17.0,3.0,2 out of 5 stars,264.2,264.54,33.513,298.053,111.432,33.0,16.961,7.854,0.515,0.0,0.463,False,,0.952,237.002,367.086,199.519,406.535,0.91,0.033,0.017,0.598,0.91,0.09,12,1,TE1,13,12,10.0,fair,Balanced
Chase Brown,RB,CIN,26.0,6.0,Active,3.0,9224,,,d74ff06d-905d-4fed-8f98-b5f6d4549333,00-0038597,0.0,0.0,990.0,7.0,229.0,54.0,360.0,4.0,65.0,0.0,0.0,1019.0,6.0,232.0,69.0,437.0,5.0,88.0,0.628,0.104,,0.145,15.0,15.0,21.0,3.0,2 out of 5 stars,277.6,277.58,57.163,334.743,108.098,33.0,16.23,7.455,0.242,0.091,0.459,False,,0.873,251.841,416.411,200.227,468.133,0.511,0.315,0.098,0.1,0.892,0.108,13,7,RB7,14,13,2.0,fair,Balanced
James Cook,RB,BUF,26.0,7.0,Active,4.0,8138,,,ce5de0e5-9f76-42ee-b93a-3ef88af9b0a7,00-0037248,0.0,0.0,1009.0,16.0,207.0,32.0,258.0,2.0,38.0,0.0,0.0,1621.0,12.0,309.0,33.0,291.0,2.0,40.0,0.477,0.077,0.572,0.084,11.0,11.0,19.0,3.0,2 out of 5 stars,270.2,270.22,60.867,331.087,104.442,33.0,17.421,8.436,0.424,0.121,0.484,False,,0.932,260.291,409.893,216.774,456.006,0.508,0.346,0.079,0.085,0.912,0.088,16,10,RB10,16,14,-5.0,fair,Balanced
Saquon Barkley,RB,PHI,29.0,10.0,Active,8.0,4866,3929630.0,30972.0,9811b753-347c-467a-b3cb-85937e71e2b9,00-0034844,0.0,0.0,2005.0,13.0,345.0,33.0,278.0,2.0,43.0,0.0,0.0,1140.0,7.0,280.0,37.0,273.0,2.0,50.0,0.734,0.103,0.783,0.108,14.5,13.0,26.0,4.0,4 out of 5 stars,266.0,265.89,67.491,333.381,106.736,32.0,18.238,10.176,0.25,0.062,0.558,False,,0.81,225.582,428.82,163.664,489.132,0.486,0.279,0.125,0.124,0.841,0.159,14,8,RB8,17,15,-1.0,fair,Injury Risk
CeeDee Lamb,WR,DAL,27.0,14.0,Active,6.0,6786,4241389.0,32687.0,a72ea15b-5199-4101-a300-846e1c655add,00-0036358,0.0,0.0,70.0,0.0,14.0,101.0,1194.0,6.0,152.0,0.0,0.0,2.0,0.0,1.0,75.0,1077.0,3.0,117.0,0.802,0.244,0.729,0.193,11.0,12.0,7.0,2.0,2 out of 5 stars,273.5,273.17,33.142,306.312,98.449,28.0,16.582,7.245,0.25,0.071,0.437,False,,0.897,236.3,376.623,190.01,421.263,0.478,0.285,0.115,0.104,0.877,0.123,17,6,WR6,12,16,-5.0,fair,Safe
Justin Jefferson,WR,MIN,27.0,6.0,Active,6.0,6794,4262921.0,32692.0,4131d4ee-0318-4bb5-832a-4dec80668a4f,00-0036322,22.0,0.0,3.0,0.0,1.0,103.0,1533.0,10.0,154.0,0.0,0.0,7.0,0.0,2.0,84.0,1048.0,2.0,141.0,0.932,0.298,0.942,0.301,10.0,10.0,9.0,2.0,5 out of 5 stars,269.5,269.49,32.383,301.873,94.01,34.0,15.264,7.59,0.265,0.118,0.497,False,149.0,0.886,226.904,374.172,182.974,421.004,0.454,0.276,0.127,0.103,0.857,0.143,20,8,WR8,15,17,-10.0,fair,Balanced
Derrick Henry,RB,BAL,32.0,13.0,Active,10.0,3198,3043078.0,29279.0,87c481c7-7414-43cc-82df-19ca0c2ae22e,00-0032764,0.0,0.0,1921.0,16.0,325.0,19.0,193.0,2.0,22.0,0.0,0.0,1595.0,16.0,307.0,15.0,150.0,0.0,21.0,0.574,0.048,0.545,0.052,21.0,21.0,37.0,5.0,3 out of 5 stars,272.9,273.02,58.216,331.236,104.591,34.0,18.35,9.216,0.382,0.029,0.502,False,,0.794,217.441,427.105,158.393,491.299,0.476,0.275,0.13,0.126,0.827,0.173,15,9,RB9,21,18,6.0,fair,Injury Risk
Omarion Hampton,RB,LAC,23.0,7.0,Active,1.0,12507,,,3e1b7908-79ee-4a23-97b9-5190725a2e5e,00-0040666,,,,,,,,,,0.0,0.0,545.0,4.0,124.0,32.0,192.0,1.0,35.0,,,0.634,0.064,15.0,14.0,24.0,4.0,3 out of 5 stars,263.8,264.25,58.677,322.927,96.282,9.0,15.078,8.075,0.333,0.111,0.536,False,,,236.197,405.502,185.042,458.706,0.457,0.331,0.125,0.087,0.871,0.129,19,11,RB11,19,19,-5.0,fair,Balanced
Brock Bowers,TE,LV,23.0,13.0,Active,2.0,11604,,,ad9fc7e3-0a6d-4e41-84c2-cf43b71aee13,00-0039338,0.0,0.0,13.0,0.0,5.0,112.0,1194.0,5.0,153.0,0.0,0.0,2.0,0.0,2.0,64.0,680.0,7.0,86.0,0.849,0.258,0.859,0.174,19.5,19.0,20.0,3.0,3 out of 5 stars,243.6,243.48,29.934,273.414,86.793,29.0,15.066,8.77,0.414,0.034,0.582,False,,0.881,202.669,341.827,160.052,384.388,0.834,0.092,0.026,0.44,0.834,0.166,22,2,TE2,20,20,-3.0,fair,Balanced
