sleeper_id,full_name,position,team,status,injury_status,injury_body_part,injury_start_date,injury_notes,news_updated,depth_chart_position,depth_chart_order,adp_ppr,adp_std,adp_half_ppr,adp_2qb,proj_pts_ppr,proj_pts_std,proj_rush_yds,proj_rush_att,proj_rec,proj_rec_yds,proj_rec_td,proj_fumbles_lost,proj_rush_td,proj_pass_yds,proj_pass_td,proj_pass_int,proj_pass_att,nn
8413,Chris Oladokun,QB,KC,Active,,,,,1780608036596.0,QB,3.0,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,chris oladokun
11474,Dylan Drummond,WR,ATL,Active,,,,,1767892851047.0,RWR,4.0,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,dylan drummond
13063,Darius Lassiter,WR,,Active,,,,,1756250720634.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,darius lassiter
3504,Steven Scheu,TE,,Active,,,,,,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,steven scheu
8928,Daylen Baldwin,WR,,Active,,,,,1724715646741.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,daylen baldwin
12834,Jimmy Bell,TE,,Active,,,,,,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,jimmy bell
8105,Brayden Lenius,TE,,Active,,,,,1659040231348.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,brayden lenius
5751,Austin Roberts,TE,,Active,,,,,1557447911603.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,austin roberts
7009,Trishton Jackson,WR,,Inactive,,,,,1767135319997.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,trishton jackson
4409,Josiah Price,TE,,Active,,,,,1552510855731.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,josiah price
6364,Papi White,WR,,Active,,,,,1602033936172.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,papi white
13413,Cyrus Allen,WR,KC,Active,,,,,1786116628667.0,SWR,5.0,999.0,999.0,999.0,999.0,37.2,23.2,,,14.0,172.0,1.0,,,,,,,cyrus allen
6059,Travis Fulgham,WR,,Active,,,,,1663872951482.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,travis fulgham
12829,Coleman Owen,WR,IND,Active,,,,,1767643506170.0,SWR,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,coleman owen
13677,Noah Short,WR,,Active,,,,,1778532343643.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,noah short
8828,Michael Young,WR,,Active,,,,,1668554755317.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,michael young
12773,DJ Uiagalelei,QB,LAC,Active,,,,,1768360259109.0,QB,3.0,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,dj uiagalelei
7176,Caleb Repp,TE,,Active,,,,,1596396917521.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,caleb repp
2206,Logan Kilgore,QB,,Active,,,,,,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,logan kilgore
12718,Konata Mumpfield,WR,LAR,Active,,,,,1777573224836.0,LWR,4.0,999.0,999.0,999.0,999.0,41.7,25.7,,,16.0,197.0,1.0,,,,,,,konata mumpfield
9481,Luke Musgrave,TE,GB,Active,PUP,Undisclosed,,,1785354311466.0,TE,2.0,999.0,999.0,999.0,999.0,40.6,23.6,,,17.0,176.0,1.0,,,,,,,luke musgrave
11213,Camren McDonald,TE,,Active,,,,,1693254649931.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,camren mcdonald
13419,Jaydn Ott,RB,KC,Active,,,,,1779294042885.0,RB,5.0,999.0,999.0,999.0,999.0,11.2,8.2,63.0,15.0,3.0,19.0,,,,,,,,jaydn ott
