espn_id,full_name,position,pro_team_id,adp,adp_pct_change,pct_owned,pct_started,proj_total_espn_default,proj_rush_att,proj_rush_yds,proj_rush_td,proj_rec,proj_rec_yds,proj_rec_td,proj_pass_att,proj_pass_yds,proj_pass_td,proj_pass_int,proj_fg_made,proj_fg_att,proj_pat_made,nn
14561,Kerry Taylor,WR,6,,,,,,,,,,,,,,,,,,,kerry taylor
14565,Jake Rogers,K,15,,,,,,,,,,,,,,,,,,,jake rogers
14567,Zack Pianalto,TE,0,,,,,,,,,,,,,,,,,,,zack pianalto
14570,Lestar Jean,WR,34,,,,,,,,,,,,,,,,,,,lestar jean
14571,Terrence Toliver,WR,3,,,,,,,,,,,,,,,,,,,terrence toliver
4241588,Elijah Cooks,WR,29,170.0,0.0,0.01,0.0,,,,,,,,,,,,,,,elijah cooks
14583,Kamar Aiken,WR,0,,,,,,,,,,,,,,,,,,,kamar aiken
14587,Brandon Saine,RB,0,,,,,,,,,,,,,,,,,,,brandon saine
14590,Jeff Maehl,WR,21,,,,,,,,,,,,,,,,,,,jeff maehl
2980073,Jeremy Sprinkle,TE,0,,,,,,,,,,,,,,,,,,,jeremy sprinkle
2980068,Mekale McKay,WR,6,,,,,,,,,,,,,,,,,,,mekale mckay
14594,McLeod Bethel-Thompson,QB,21,,,,,,,,,,,,,,,,,,,mcleod bethel thompson
14600,Shaky Smithson,WR,0,,,,,,,,,,,,,,,,,,,shaky smithson
14601,Tori Gurley,WR,2,,,,,,,,,,,,,,,,,,,tori gurley
2980061,Keon Hatcher,WR,0,,,,,,,,,,,,,,,,,,,keon hatcher
4028745,Braxton Westfield,WR,0,,,,,,,,,,,,,,,,,,,braxton westfield
2980148,C.J. Prosise,RB,0,,,,,,,,,,,,,,,,,,,c j prosise
14608,Henry Hynoski,RB,19,,,,,,,,,,,,,,,,,,,henry hynoski
14610,Michael Preston,WR,15,,,,,,,,,,,,,,,,,,,michael preston
14625,Phillip Tanner,RB,25,,,,,,,,,,,,,,,,,,,phillip tanner
14631,Ben Guidugli,RB,0,,,,,,,,,,,,,,,,,,,ben guidugli
2980120,Colin Thompson,TE,0,,,,,,,,,,,,,,,,,,,colin thompson
14637,Mike McNeill,TE,29,,,,,,,,,,,,,,,,,,,mike mcneill
4569452,Winston Wright,WR,0,,,,,,,,,,,,,,,,,,,winston wright
5208436,Louis Rees-Zammit,RB,0,169.99,0.0,0.02,0.01,,,,,,,,,,,,,,,louis rees zammit
4258170,Tarik Black,WR,8,,,,,,,,,,,,,,,,,,,tarik black
4635009,J. Michael Sturdivant,WR,9,,,,,,,,,,,,,,,,,,,j michael sturdivant
4258173,Nico Collins,WR,34,27.78,-0.09,99.4,94.43,249.97627129,2.102,11.799,0.082,86.435,1210.591,6.719,,,,,,,,nico collins
4635008,Keon Coleman,WR,2,170.17,-0.03,2.06,0.23,,,,,19.403,265.974,2.249,,,,,,,,keon coleman
3127588,Sean Modster,WR,0,,,,,,,,,,,,,,,,,,,sean modster
14658,Colin Cochart,TE,0,,,,,,,,,,,,,,,,,,,colin cochart
3127586,Jeremy McNichols,RB,28,170.01,0.0,0.09,0.02,,,,,,,,,,,,,,,jeremy mcnichols
4258180,Joel Honigford,TE,0,,,,,,,,,,,,,,,,,,,joel honigford
4241802,Jalen Reagor,WR,15,169.98,0.0,0.02,0.01,,,,,,,,,,,,,,,jalen reagor
14669,Eddie Wide,RB,0,,,,,,,,,,,,,,,,,,,eddie wide
14670,Thomas Weber,K,0,,,,,,,,,,,,,,,,,,,thomas weber
14674,Landon Cox,WR,0,,,,,,,,,,,,,,,,,,,landon cox
4372758,Kevin Austin Jr.,WR,18,170.0,0.0,0.02,0.01,,,,,,,,,,,,,,,kevin austin
14681,David Gilreath,WR,26,,,,,,,,,,,,,,,,,,,david gilreath
14685,Darren Evans,RB,0,,,,,,,,,,,,,,,,,,,darren evans
4372769,Lawrence Keys III,WR,0,,,,,,,,,,,,,,,,,,,lawrence keys
4569372,Dalevon Campbell,WR,24,170.0,0.0,0.01,0.0,,,,,,,,,,,,,,,dalevon campbell
14688,Marcus Harris,WR,19,,,,,,,,,,,,,,,,,,,marcus harris
4569371,Isaiah Williams,WR,20,169.97,0.0,0.12,0.02,,2.172,12.698,0.105,3.77,35.822,0.135,,,,,,,,isaiah williams
3045763,Teo Redding,WR,9,,,,,,,,,,,,,,,,,,,teo redding
3144062,Khari Lee,TE,0,,,,,,,,,,,,,,,,,,,khari lee
4045163,Miles Sanders,RB,0,169.99,0.0,0.04,0.01,,,,,,,,,,,,,,,miles sanders
4569382,Jordan Whittington,WR,14,169.88,0.01,0.25,0.07,,2.274,12.094,0.117,15.029,171.943,1.223,,,,,,,,jordan whittington
4569391,Travis Koontz,TE,0,,,,,,,,,,,,,,,,,,,travis koontz
4372780,Tommy Tremble,TE,29,169.93,0.0,0.26,0.08,,,,,25.747,252.02,1.913,,,,,,,,tommy tremble
4569393,Xavier White,WR,0,,,,,,,,,,,,,,,,,,,xavier white
4569390,Jonathan Garibay,K,0,,,,,,,,,,,,,,,,,,,jonathan garibay
4241723,Damion Willis,WR,0,,,,,,,,,,,,,,,,,,,damion willis
2980197,Darius Jackson,RB,0,,,,,,,,,,,,,,,,,,,darius jackson
14724,John Griffin,RB,20,,,,,,,,,,,,,,,,,,,john griffin
14727,Raymond Radway,WR,0,,,,,,,,,,,,,,,,,,,raymond radway
4569547,Nick Kallerup,TE,26,170.0,0.0,0.01,0.0,,,,,,,,,,,,,,,nick kallerup
4569559,Devaughn Vele,WR,18,171.16,0.12,1.3,0.1,,,,,25.153,257.666,1.678,,,,,,,,devaughn vele
14741,Jeff Wolfert,K,0,,,,,,,,,,,,,,,,,,,jeff wolfert
-16001,Falcons D/ST,DEF,1,170.54,-0.01,1.91,1.23,,,,,,,,,,,,,,,falcons d st
-16002,Bills D/ST,DEF,2,169.05,0.06,4.65,2.71,,,,,,,,,,,,,,,bills d st
-16003,Bears D/ST,DEF,3,169.42,0.1,8.56,6.18,,,,,,,,,,,,,,,bears d st
-16004,Bengals D/ST,DEF,4,169.44,0.06,2.74,1.57,,,,,,,,,,,,,,,bengals d st
-16005,Browns D/ST,DEF,5,152.14,0.13,60.79,52.05,881.9240796,,,,,,,,,,,,,,browns d st
-16006,Cowboys D/ST,DEF,6,167.08,0.16,8.82,4.76,,,,,,,,,,,,,,,cowboys d st
-16007,Broncos D/ST,DEF,7,89.0,0.47,98.54,83.48,984.82916777,,,,,,,,,,,,,,broncos d st
-16008,Lions D/ST,DEF,8,151.42,0.21,61.07,50.9,878.99822373,,,,,,,,,,,,,,lions d st
-16009,Packers D/ST,DEF,9,167.76,0.19,13.0,9.06,,,,,,,,,,,,,,,packers d st
-16010,Titans D/ST,DEF,10,169.87,0.04,4.67,3.88,,,,,,,,,,,,,,,titans d st
-16011,Colts D/ST,DEF,11,170.0,0.16,3.72,2.31,,,,,,,,,,,,,,,colts d st
14752,Adi Kunalic,K,0,,,,,,,,,,,,,,,,,,,adi kunalic
4241888,Reggie Roberson Jr.,WR,0,,,,,,,,,,,,,,,,,,,reggie roberson
-16012,Chiefs D/ST,DEF,12,161.95,0.16,32.2,25.85,,,,,,,,,,,,,,,chiefs d st
-16013,Raiders D/ST,DEF,13,169.57,0.05,2.0,1.31,,,,,,,,,,,,,,,raiders d st
-16014,Rams D/ST,DEF,14,97.49,0.79,93.74,79.68,903.88748024,,,,,,,,,,,,,,rams d st
3914158,Kahlil Lewis,WR,26,,,,,,,,,,,,,,,,,,,kahlil lewis
-16015,Dolphins D/ST,DEF,15,169.48,0.01,0.85,0.56,,,,,,,,,,,,,,,dolphins d st
-16016,Vikings D/ST,DEF,16,168.95,0.03,31.31,25.91,,,,,,,,,,,,,,,vikings d st
-16017,Patriots D/ST,DEF,17,147.53,0.03,80.87,66.07,992.75550114,,,,,,,,,,,,,,patriots d st
-16018,Saints D/ST,DEF,18,170.0,0.06,5.38,4.28,,,,,,,,,,,,,,,saints d st
14759,Darvin Adams,WR,0,,,,,,,,,,,,,,,,,,,darvin adams
-16019,Giants D/ST,DEF,19,169.1,0.07,3.52,2.0,,,,,,,,,,,,,,,giants d st
-16020,Jets D/ST,DEF,20,169.93,-0.04,1.43,0.97,,,,,,,,,,,,,,,jets d st
14761,Armond Smith,RB,29,,,,,,,,,,,,,,,,,,,armond smith
-16021,Eagles D/ST,DEF,21,134.27,0.13,85.95,74.0,970.37309641,,,,,,,,,,,,,,eagles d st
-16022,Cardinals D/ST,DEF,22,169.74,0.02,0.52,0.32,,,,,,,,,,,,,,,cardinals d st
-16023,Steelers D/ST,DEF,23,117.3,0.17,93.32,84.44,907.76318051,,,,,,,,,,,,,,steelers d st
