name,position,team,adp,high,low,stdev,times_drafted,bye,nn
Ricky Pearsall,WR,SF,115.7,84,147,13.2,108,8,ricky pearsall
Rashid Shaheed,WR,SEA,118.6,96,147,8.5,276,11,rashid shaheed
Minnesota Defense,DEF,MIN,119.2,91,159,11.3,66,6,minnesota defense
Matthew Golden,WR,GB,119.6,90,149,11.1,462,11,matthew golden
Bo Nix,QB,DEN,119.7,88,144,11.9,296,10,bo nix
Blake Corum,RB,LAR,121.1,80,151,15.5,865,11,blake corum
George Kittle,TE,SF,121.2,76,172,19.3,505,8,george kittle
Jordan Mason,RB,MIN,122.4,82,150,15.5,550,6,jordan mason
Tyjae Spears,RB,TEN,125.5,89,150,13.7,108,9,tyjae spears
Jalen Coker,WR,CAR,126.3,102,146,9.3,223,5,jalen coker
KC Concepcion,WR,CLE,128.5,101,150,10.5,411,11,kc concepcion
Baker Mayfield,QB,TB,128.6,101,149,10.6,257,10,baker mayfield
Calvin Ridley,WR,TEN,129.1,104,150,9.3,119,9,calvin ridley
Detroit Defense,DEF,DET,129.1,107,173,17.1,37,6,detroit defense
Brandon Aubrey,PK,DAL,131.1,72,184,22.7,1218,14,brandon aubrey
Alvin Kamara,RB,NO,132.2,83,174,18.9,283,8,alvin kamara
Jerry Jeudy,WR,CLE,133.6,108,150,9.7,155,11,jerry jeudy
Jason Myers,PK,SEA,134.3,78,184,21.5,115,11,jason myers
Jayden Higgins,WR,HOU,135.8,110,154,9.8,237,8,jayden higgins
Tre Tucker,WR,LV,136.0,112,150,9.2,104,13,tre tucker
LA Rams Defense,DEF,LAR,136.1,87,180,18.5,780,11,la rams defense
Theo Wease Jr.,WR,MIA,136.2,120,148,6.0,52,6,theo wease
Tyler Shough,QB,NO,136.3,112,154,9.3,164,8,tyler shough
Mark Andrews,TE,BAL,137.1,90,178,20.5,270,13,mark andrews
Ka'imi Fairbairn,PK,HOU,139.0,91,187,21.2,142,8,ka imi fairbairn
Zach Charbonnet,RB,SEA,139.5,93,178,17.7,383,11,zach charbonnet
New England Defense,DEF,NE,139.8,104,180,17.1,214,11,new england defense
Isaiah Likely,TE,NYG,140.4,92,175,18.4,631,8,isaiah likely
Jake Ferguson,TE,DAL,140.5,88,176,19.8,308,14,jake ferguson
Sam Darnold,QB,SEA,140.8,108,179,12.6,112,11,sam darnold
Philadelphia Defense,DEF,PHI,141.4,99,180,18.0,269,10,philadelphia defense
Jauan Jennings,WR,MIN,141.5,102,178,15.2,77,6,jauan jennings
Jalen McMillan,WR,TB,141.8,105,176,14.0,158,10,jalen mcmillan
Kyler Murray,QB,MIN,143.2,98,180,17.1,321,6,kyler murray
Woody Marks,RB,HOU,144.2,99,175,17.2,125,8,woody marks
LA Chargers Defense,DEF,LAC,144.9,108,180,17.1,165,7,la chargers defense
Cameron Dicker,PK,LAC,145.0,108,187,16.4,125,7,cameron dicker
Rashod Bateman,WR,BAL,145.4,121,173,13.9,29,13,rashod bateman
Jake Bates,PK,DET,145.6,95,188,19.4,79,6,jake bates
Atlanta Defense,DEF,ATL,147.2,112,181,18.9,85,11,atlanta defense
Jordan Love,QB,GB,148.6,111,180,14.3,252,11,jordan love
Isiah Pacheco,RB,DET,148.7,95,180,20.5,217,6,isiah pacheco
Harrison Mevis,PK,LAR,151.0,107,187,16.9,67,11,harrison mevis
Pat Freiermuth,TE,PIT,152.0,101,176,34.5,5,9,pat freiermuth
Chase McLaughlin,PK,TB,152.5,136,180,13.4,87,10,chase mclaughlin
Dalton Kincaid,TE,BUF,153.0,99,180,20.7,173,7,dalton kincaid
Cairo Santos,PK,CHI,153.3,93,193,23.0,32,10,cairo santos
Denzel Boston,WR,CLE,154.0,111,180,16.5,104,11,denzel boston
T.J. Hockenson,TE,MIN,154.1,106,206,28.2,36,6,t j hockenson
Tank Dell,WR,HOU,154.3,117,180,14.0,203,8,tank dell
Tank Bigsby,RB,PHI,154.3,123,182,16.8,50,10,tank bigsby
Jacoby Brissett,QB,ARI,154.8,127,178,21.2,5,14,jacoby brissett
Keaton Mitchell,RB,LAC,155.4,96,191,23.3,34,7,keaton mitchell
Malik Washington,WR,MIA,155.8,120,201,15.5,77,6,malik washington
Tyrone Tracy Jr.,RB,NYG,156.0,114,180,15.8,159,8,tyrone tracy
