name,position,team,adp,high,low,stdev,times_drafted,bye,nn
Jalen McMillan,WR,TB,136.8,106,157,11.7,69,10,jalen mcmillan
Theo Wease Jr.,WR,MIA,138.6,130,149,5.3,22,6,theo wease
Jordan Love,QB,GB,138.8,109,168,12.2,156,11,jordan love
Tyler Shough,QB,NO,139.0,111,164,10.7,176,8,tyler shough
Kyler Murray,QB,MIN,139.8,98,178,15.7,220,6,kyler murray
Jauan Jennings,WR,MIN,140.3,112,165,10.8,76,6,jauan jennings
Isaiah Likely,TE,NYG,141.2,92,179,18.9,470,8,isaiah likely
Jason Myers,PK,SEA,141.4,97,161,17.8,83,11,jason myers
Tre' Harris,WR,LAC,141.7,93,201,44.5,6,7,tre harris
Dalton Kincaid,TE,BUF,141.9,89,180,20.5,218,7,dalton kincaid
Calvin Ridley,WR,TEN,142.9,110,175,16.9,84,9,calvin ridley
Woody Marks,RB,HOU,142.9,99,180,16.7,139,8,woody marks
Jerry Jeudy,WR,CLE,143.4,108,177,14.6,158,11,jerry jeudy
Isiah Pacheco,RB,DET,144.9,95,179,18.9,174,6,isiah pacheco
Zach Charbonnet,RB,SEA,145.8,83,207,23.9,183,11,zach charbonnet
Denzel Boston,WR,CLE,145.8,127,177,12.8,40,11,denzel boston
Mike Washington Jr.,RB,LV,145.9,91,208,43.1,8,13,mike washington
Cameron Dicker,PK,LAC,145.9,102,186,16.6,95,7,cameron dicker
Ka'imi Fairbairn,PK,HOU,146.1,103,187,20.1,61,8,ka imi fairbairn
Hunter Henry,TE,NE,148.7,85,188,24.4,41,11,hunter henry
Alvin Kamara,RB,NO,148.8,90,196,22.5,173,8,alvin kamara
Green Bay Defense,DEF,GB,148.8,146,154,3.1,5,11,green bay defense
Brenton Strange,TE,JAX,148.9,104,199,18.7,78,7,brenton strange
Sam Darnold,QB,SEA,149.1,101,180,18.3,110,11,sam darnold
Jake Bates,PK,DET,150.0,111,197,18.7,90,6,jake bates
Rashod Bateman,WR,BAL,151.3,117,175,14.1,28,13,rashod bateman
San Francisco Defense,DEF,SF,151.4,125,174,14.0,15,8,san francisco defense
Harrison Mevis,PK,LAR,151.4,113,172,14.5,69,11,harrison mevis
Adonai Mitchell,WR,NYJ,151.5,119,178,16.1,18,13,adonai mitchell
Chris Rodriguez Jr.,RB,JAX,151.5,112,210,20.5,67,7,chris rodriguez
LA Chargers Defense,DEF,LAC,152.0,104,182,18.1,221,7,la chargers defense
Omar Cooper Jr.,WR,NYJ,152.4,99,180,20.5,62,13,omar cooper
Pittsburgh Defense,DEF,PIT,152.5,108,194,17.0,244,9,pittsburgh defense
Dallas Defense,DEF,DAL,153.0,81,201,30.1,25,14,dallas defense
C.J. Stroud,QB,HOU,153.1,124,180,12.6,84,8,c j stroud
Jalen Nailor,WR,LV,155.0,124,179,12.8,107,13,jalen nailor
Antonio Williams,WR,WAS,155.2,129,179,10.1,64,7,antonio williams
Malik Washington,WR,MIA,155.5,118,179,14.7,47,6,malik washington
Brian Robinson Jr.,RB,ATL,155.6,122,174,15.3,27,11,brian robinson
Cairo Santos,PK,CHI,155.9,108,190,18.4,27,10,cairo santos
Cam Little,PK,JAX,157.3,104,210,20.4,150,7,cam little
Tyrone Tracy Jr.,RB,NYG,157.4,112,180,17.1,139,8,tyrone tracy
Eddy Piñeiro,PK,SF,157.4,120,192,16.8,53,8,eddy pi eiro
Tennessee Defense,DEF,TEN,157.5,132,180,11.8,67,9,tennessee defense
Chase McLaughlin,PK,TB,158.0,135,192,17.2,48,10,chase mclaughlin
Justice Hill,RB,BAL,158.2,116,179,22.3,20,13,justice hill
Chris Boswell,PK,PIT,158.5,111,199,24.7,23,9,chris boswell
Tyler Loop,PK,BAL,158.8,132,209,15.1,87,13,tyler loop
Dylan Sampson,RB,CLE,159.4,124,179,13.6,36,11,dylan sampson
Jordan James,RB,SF,159.6,128,206,25.1,7,8,jordan james
Christian Kirk,WR,SF,160.2,130,180,15.8,10,8,christian kirk
Buffalo Defense,DEF,BUF,160.2,123,201,14.5,236,7,buffalo defense
Kenyon Sadiq,TE,NYJ,160.3,123,201,16.0,65,13,kenyon sadiq
James Conner,RB,ARI,160.8,108,209,26.0,11,14,james conner
Jonah Coleman,RB,DEN,161.0,105,177,21.3,11,10,jonah coleman
Cooper Kupp,WR,SEA,161.4,138,192,10.3,37,11,cooper kupp
Daniel Jones,QB,IND,161.5,125,180,13.9,59,13,daniel jones
Chig Okonkwo,TE,WAS,161.6,116,181,17.2,52,7,chig okonkwo
Travis Hunter,WR,JAX,161.8,104,178,22.1,40,7,travis hunter
Tyler Allgeier,RB,ARI,161.8,106,210,21.4,52,14,tyler allgeier
Chicago Defense,DEF,CHI,162.0,140,203,17.7,20,10,chicago defense
Tank Dell,WR,HOU,162.1,126,210,16.0,57,8,tank dell
Baltimore Defense,DEF,BAL,162.1,121,210,15.5,227,13,baltimore defense
Malik Willis,QB,MIA,162.8,123,198,15.1,62,6,malik willis
Juwan Johnson,TE,NO,163.0,123,196,17.2,49,8,juwan johnson
Keaton Mitchell,RB,LAC,163.3,88,204,28.8,31,7,keaton mitchell
Will Reichard,PK,MIN,163.8,132,210,16.2,45,6,will reichard
Darnell Mooney,WR,NYG,164.0,140,177,14.6,5,8,darnell mooney
Andy Borregales,PK,NE,164.2,146,171,10.9,5,11,andy borregales
T.J. Hockenson,TE,MIN,164.4,119,180,17.4,39,6,t j hockenson
Atlanta Defense,DEF,ATL,164.6,119,201,17.2,64,11,atlanta defense
Nick Folk,PK,ATL,164.7,141,180,15.6,7,11,nick folk
Oronde Gadsden,TE,LAC,165.4,113,197,28.7,14,7,oronde gadsden
Tank Bigsby,RB,PHI,165.4,119,184,17.7,22,10,tank bigsby
Jacoby Brissett,QB,ARI,165.4,147,179,9.7,9,14,jacoby brissett
Samaje Perine,RB,CIN,165.6,130,180,16.9,12,6,samaje perine
Harrison Butker,PK,KC,165.6,116,205,19.0,81,5,harrison butker
Ryan Flournoy,WR,DAL,165.6,131,179,13.2,29,14,ryan flournoy
De'Zhaun Stribling,WR,SF,167.0,115,205,19.8,25,8,de zhaun stribling
Cincinnati Defense,DEF,CIN,167.7,102,209,32.9,22,6,cincinnati defense
Evan McPherson,PK,CIN,168.8,137,209,13.0,113,6,evan mcpherson
New Orleans Defense,DEF,NO,169.2,156,210,11.9,20,8,new orleans defense
Germie Bernard,WR,PIT,169.3,147,180,10.3,12,9,germie bernard
Braelon Allen,RB,NYJ,169.6,120,207,28.6,9,13,braelon allen
Isaac TeSlaa,WR,DET,169.8,135,185,13.1,32,6,isaac teslaa
Troy Franklin,WR,DEN,169.9,161,178,6.5,10,10,troy franklin
Kayshon Boutte,WR,NE,170.1,128,207,19.5,26,11,kayshon boutte
Bryce Young,QB,CAR,170.4,150,192,12.3,14,5,bryce young
Kimani Vidal,RB,LAC,171.0,163,178,6.7,5,7,kimani vidal
Kaelon Black,RB,SF,171.2,151,197,17.2,5,8,kaelon black
Tyler Bass,PK,BUF,171.2,140,177,12.7,8,7,tyler bass
Cam Ward,QB,TEN,172.2,141,209,16.7,39,9,cam ward
Fernando Mendoza,QB,LV,172.3,144,204,14.4,15,13,fernando mendoza
Greg Dulcich,TE,MIA,172.5,142,195,12.8,11,6,greg dulcich
Wil Lutz,PK,DEN,174.9,143,202,16.3,16,10,wil lutz
Dalton Schultz,TE,HOU,174.9,145,201,17.9,10,8,dalton schultz
Dontayvion Wicks,WR,PHI,175.3,171,180,4.5,6,10,dontayvion wicks
Kansas City Defense,DEF,KC,175.6,144,209,12.7,35,5,kansas city defense
Zachariah Branch,WR,ATL,177.0,177,177,0.0,5,11,zachariah branch
Matt Gay,PK,LV,177.2,169,201,13.5,5,13,matt gay
NY Giants Defense,DEF,NYG,179.5,131,209,20.2,38,8,ny giants defense
Cleveland Defense,DEF,CLE,180.6,164,209,16.0,14,11,cleveland defense
Miami Defense,DEF,MIA,180.9,155,209,17.3,13,6,miami defense
Washington Defense,DEF,WAS,187.4,113,210,28.4,12,7,washington defense
Aaron Rodgers,QB,PIT,188.6,163,207,17.1,5,9,aaron rodgers
