fp_page,page_type,ecr_type,player,id,pos,team,ecr,sd,best,worst,sportsdata_id,player_filename,yahoo_id,cbs_id,player_owned_avg,player_owned_espn,player_owned_yahoo,player_image_url,player_square_image_url,rank_delta,bye,mergename,scrape_date,tm
/nfl/rankings/best-ball-overall.php,best-overall,bo,Puka Nacua,23180,WR,LAR,3.8,0.4,3,4,,puka-nacua.php,,,99.5,,,,,,11.0,Puka Nacua,2026-07-31,LAR
/nfl/rankings/best-ball-overall.php,best-overall,bo,Jaxon Smith-Njigba,23070,WR,SEA,5.4,0.49,5,6,,jaxon-smith-njigba.php,,,99.6,,,,,,11.0,Jaxon Smith-Njigba,2026-07-31,SEA
/nfl/rankings/best-ball-overall.php,best-overall,bo,Christian McCaffrey,16393,RB,SF,7.4,3.38,5,14,,christian-mccaffrey.php,,,99.5,,,,,1.0,8.0,Christian McCaffrey,2026-07-31,SFO
/nfl/rankings/best-ball-overall.php,best-overall,bo,Amon-Ra St. Brown,19799,WR,DET,7.4,0.49,7,8,,amonra-stbrown.php,,,99.3,,,,,,6.0,Amon-Ra St Brown,2026-07-31,DET
/nfl/rankings/best-ball-overall.php,best-overall,bo,Jonathan Taylor,19217,RB,IND,9.2,1.47,8,11,,jonathan-taylor.php,,,99.3,,,,,-1.0,13.0,Jonathan Taylor,2026-07-31,IND
/nfl/rankings/best-ball-overall.php,best-overall,bo,James Cook III,22958,RB,BUF,11.4,2.87,7,15,,james-cook.php,,,99.5,,,,,,7.0,James Cook,2026-07-31,BUF
/nfl/rankings/best-ball-overall.php,best-overall,bo,CeeDee Lamb,19202,WR,DAL,11.4,2.42,9,16,,ceedee-lamb.php,,,99.4,,,,,-1.0,14.0,CeeDee Lamb,2026-07-31,DAL
/nfl/rankings/best-ball-overall.php,best-overall,bo,Justin Jefferson,19236,WR,MIN,11.8,1.6,10,14,,justin-jefferson.php,,,99.3,,,,,,6.0,Justin Jefferson,2026-07-31,MIN
/nfl/rankings/best-ball-overall.php,best-overall,bo,Chase Brown,25324,RB,CIN,13.0,2.53,10,16,,chase-brown.php,,,98.7,,,,,,6.0,Chase Brown,2026-07-31,CIN
/nfl/rankings/best-ball-overall.php,best-overall,bo,Ashton Jeanty,25989,RB,LV,13.2,4.87,9,22,,ashton-jeanty.php,,,99.1,,,,,,13.0,Ashton Jeanty,2026-07-31,LVR
/nfl/rankings/best-ball-overall.php,best-overall,bo,Omarion Hampton,25395,RB,LAC,14.0,0.89,13,15,,omarion-hampton.php,,,98.7,,,,,,7.0,Omarion Hampton,2026-07-31,LAC
/nfl/rankings/best-ball-overall.php,best-overall,bo,Brock Bowers,22955,TE,LV,16.8,2.93,12,21,,brock-bowers.php,,,99.1,,,,,,13.0,Brock Bowers,2026-07-31,LVR
/nfl/rankings/best-ball-overall.php,best-overall,bo,Drake London,23163,WR,ATL,16.8,3.06,14,21,,drake-london.php,,,99.1,,,,,,11.0,Drake London,2026-07-31,ATL
/nfl/rankings/best-ball-overall.php,best-overall,bo,De'Von Achane,23136,RB,MIA,17.0,2.0,13,18,,devon-achane.php,,,99.2,,,,,,6.0,DeVon Achane,2026-07-31,MIA
/nfl/rankings/best-ball-overall.php,best-overall,bo,A.J. Brown,18218,WR,NE,18.4,3.88,11,22,,aj-brown.php,,,99.2,,,,,,11.0,AJ Brown,2026-07-31,NEP
/nfl/rankings/best-ball-overall.php,best-overall,bo,Saquon Barkley,17240,RB,PHI,18.6,5.39,12,28,,saquon-barkley.php,,,99.4,,,,,,10.0,Saquon Barkley,2026-07-31,PHI
/nfl/rankings/best-ball-overall.php,best-overall,bo,Kenneth Walker III,23021,RB,KC,19.2,5.95,15,31,,kenneth-walker-rb.php,,,99.3,,,,,,5.0,Kenneth Walker,2026-07-31,KCC
/nfl/rankings/best-ball-overall.php,best-overall,bo,Nico Collins,20130,WR,HOU,21.8,2.56,17,24,,nico-collins.php,,,99.2,,,,,,8.0,Nico Collins,2026-07-31,HOU
/nfl/rankings/best-ball-overall.php,best-overall,bo,Derrick Henry,15514,RB,BAL,22.2,2.71,17,25,,derrick-henry.php,,,99.1,,,,,,13.0,Derrick Henry,2026-07-31,BAL
/nfl/rankings/best-ball-overall.php,best-overall,bo,George Pickens,22963,WR,DAL,23.6,2.94,20,27,,george-pickens.php,,,99.2,,,,,,14.0,George Pickens,2026-07-31,DAL
/nfl/rankings/best-ball-overall.php,best-overall,bo,Trey McBride,22936,TE,ARI,26.0,2.19,22,28,,trey-mcbride.php,,,99.3,,,,,,14.0,Trey McBride,2026-07-31,ARI
/nfl/rankings/best-ball-overall.php,best-overall,bo,Breece Hall,22982,RB,NYJ,26.2,1.17,25,28,,breece-hall.php,,,97.6,,,,,,13.0,Breece Hall,2026-07-31,NYJ
/nfl/rankings/best-ball-overall.php,best-overall,bo,Rashee Rice,23113,WR,KC,27.6,9.93,20,47,,rashee-rice.php,,,97.9,,,,,3.0,5.0,Rashee Rice,2026-07-31,KCC
/nfl/rankings/best-ball-overall.php,best-overall,bo,DeVonta Smith,19222,WR,PHI,28.0,2.28,25,32,,devonta-smith.php,,,98.0,,,,,,10.0,DeVonta Smith,2026-07-31,PHI
/nfl/rankings/best-ball-overall.php,best-overall,bo,Javonte Williams,22739,RB,DAL,29.4,4.92,23,35,,javonte-williams.php,,,96.9,,,,,,14.0,Javonte Williams,2026-07-31,DAL
/nfl/rankings/best-ball-overall.php,best-overall,bo,Zay Flowers,22916,WR,BAL,30.8,3.82,27,38,,zay-flowers.php,,,97.1,,,,,-2.0,13.0,Zay Flowers,2026-07-31,BAL
/nfl/rankings/best-ball-overall.php,best-overall,bo,Chris Olave,20111,WR,NO,31.2,4.49,24,38,,chris-olave.php,,,98.1,,,,,,8.0,Chris Olave,2026-07-31,NOS
/nfl/rankings/best-ball-overall.php,best-overall,bo,Jeremiyah Love,25403,RB,ARI,33.6,6.97,25,42,,jeremiyah-love.php,,,98.2,,,,,-2.0,14.0,Jeremiyah Love,2026-07-31,ARI
/nfl/rankings/best-ball-overall.php,best-overall,bo,Josh Allen,17298,QB,BUF,34.4,3.44,28,38,,josh-allen-qb.php,,,99.4,,,,,,7.0,Josh Allen,2026-07-31,BUF
/nfl/rankings/best-ball-overall.php,best-overall,bo,Kyren Williams,23059,RB,LAR,34.6,6.77,23,41,,kyren-williams.php,,,98.1,,,,,,11.0,Kyren Williams,2026-07-31,LAR
/nfl/rankings/best-ball-overall.php,best-overall,bo,Tetairoa McMillan,25417,WR,CAR,35.6,6.41,29,46,,tetairoa-mcmillan.php,,,97.9,,,,,,5.0,Tetairoa McMillan,2026-07-31,CAR
