Rank,Player (Team / Bye),POS,AVG
57,Bhayshul Tuten   JAC (7),RB24,56.5
58,Joe Burrow   CIN (6),QB3,57.0
59,Bucky Irving   TB (10),RB25,57.5
60,Rome Odunze   CHI (10),WR29,58.5
61,Drake Maye   NE (11),QB4,60.0
62,Carnell Tate   TEN (9),WR30,61.0
63,Brian Thomas Jr.   JAC (7),WR31,64.5
64,Tyler Warren   IND (13),TE4,64.5
65,Jayden Daniels   WAS (7),QB5,65.0
66,Jadarian Price   SEA (11),RB26,65.0
67,Parker Washington   JAC (7),WR32,66.5
68,Marvin Harrison Jr.   ARI (14),WR33,67.0
69,Caleb Williams   CHI (10),QB6,69.0
70,Jaylen Warren   PIT (9),RB27,69.5
71,Jordyn Tyson   NO (8),WR34,72.0
72,DK Metcalf   PIT (9),WR35,73.0
73,Jalen Hurts   PHI (10),QB7,74.5
74,Justin Herbert   LAC (7),QB8,75.0
75,Chuba Hubbard   CAR (5),RB28,76.0
76,Tony Pollard   TEN (9),RB29,77.5
77,Courtland Sutton   DEN (10),WR36,78.0
78,Rhamondre Stevenson   NE (11),RB30,79.0
79,Dak Prescott   DAL (14),QB9,79.5
80,Trevor Lawrence   JAC (7),QB10,80.0
81,Alec Pierce   IND (13),WR37,82.0
82,RJ Harvey   DEN (10),RB31,83.0
83,Tucker Kraft   GB (11),TE5,83.0
84,Quentin Johnston   LAC (7),WR38,83.5
85,Kenny Gainwell   TB (10),RB32,87.5
86,Makai Lemon   PHI (10),WR39,88.0
87,Chris Godwin Jr.   TB (10),WR40,90.5
88,Michael Pittman Jr.   PIT (9),WR41,91.0
89,Jaxson Dart   NYG (8),QB11,92.0
90,Rico Dowdle   PIT (9),RB33,92.0
91,Kyle Pitts Sr.   ATL (11),TE6,93.0
92,Michael Wilson   ARI (14),WR42,93.0
93,Matthew Stafford   LAR (11),QB12,93.0
94,Brock Purdy   SF (8),QB13,93.0
95,Jayden Reed   GB (11),WR43,94.0
96,Patrick Mahomes II   KC (5),QB14,94.0
97,Harold Fannin Jr.   CLE (11),TE7,95.5
98,Sam LaPorta   DET (6),TE8,96.0
99,Kyle Monangai   CHI (10),RB34,98.0
100,Josh Downs   IND (13),WR44,98.5
101,Jonathon Brooks   CAR (5),RB35,101.0
102,Ricky Pearsall   SF (8),WR45,101.0
103,Jordan Addison   MIN (6),WR46,102.0
104,Jared Goff   DET (6),QB15,102.5
105,Blake Corum   LAR (11),RB36,102.5
106,Jakobi Meyers   JAC (7),WR47,103.0
107,Bo Nix   DEN (10),QB16,104.5
108,Xavier Worthy   KC (5),WR48,105.5
109,Rachaad White   WAS (7),RB37,107.0
110,J.K. Dobbins   DEN (10),RB38,108.5
111,Wan'Dale Robinson   TEN (9),WR49,108.5
112,Kyler Murray   MIN (6),QB17,112.0
113,Jordan Love   GB (11),QB18,113.0
114,Baker Mayfield   TB (10),QB19,115.5
115,Tyler Shough   NO (8),QB20,116.0
116,Matthew Golden   GB (11),WR50,118.0
117,Romeo Doubs   NE (11),WR51,118.0
118,Dalton Kincaid   BUF (7),TE9,118.5
119,Travis Kelce   KC (5),TE10,118.5
120,George Kittle   SF (8),TE11,119.5
121,Aaron Jones Sr.   MIN (6),RB39,121.5
122,Jordan Mason   MIN (6),RB40,123.0
123,Khalil Shakir   BUF (7),WR52,124.0
124,Jake Ferguson   DAL (14),TE12,124.5
125,Jayden Higgins   HOU (8),WR53,125.0
126,Isaiah Likely   NYG (8),TE13,125.5
127,KC Concepcion   CLE (11),WR54,125.5
128,Malik Willis   MIA (6),QB21,127.5
129,Jalen Coker   CAR (5),WR55,129.0
